[00:00.000 --> 00:04.000]  Komfortowa temperatura dla Ciebie.
[20:09.200 --> 20:10.200]  Tak.
[20:10.200 --> 20:12.200]  Bo to znaczy, że mówimy, że to jest bogłowina, a potem tylko mięso.
[20:12.200 --> 20:13.200]  Tak.
[20:13.200 --> 20:18.200]  Mięso to generalna kategoria.
[20:18.200 --> 20:22.200]  Ale oczywiście, jeśli idziesz na ten kurs, to masz kilka kategorii.
[20:22.200 --> 20:25.200]  Jak wieprzowina, wołowina i inne.
[20:25.200 --> 20:29.200]  Dobrze. W porządku.
[20:29.200 --> 20:33.200]  To co mamy następne.
[20:33.200 --> 20:39.200]  Tutaj szynka i...
[20:39.200 --> 20:43.200]  O, a to?
[20:51.200 --> 20:53.200]  To polski.
[20:53.200 --> 20:55.200]  Bardzo dobrze.
[20:55.200 --> 20:59.200]  Świetnie. To jest ekstremalnie długa fraza.
[20:59.200 --> 21:01.200]  Tak.
[21:01.200 --> 21:03.200]  Płatki. Płatki śniadaniowe.
[21:03.200 --> 21:05.200]  It's like a cornflakes.
[21:05.200 --> 21:08.200]  Internacjonalna opcja.
[21:08.200 --> 21:11.200]  Minimalnie alternatywna.
[21:11.200 --> 21:14.200]  Musli. Musli też ok.
[21:14.200 --> 21:17.200]  Musli. Musli.
[21:17.200 --> 21:22.200]  I musli. Musli.
[21:22.200 --> 21:26.200]  Or shorter we also can write in Polish like musli.
[21:26.200 --> 21:28.200]  Musli. Musli.
[21:28.200 --> 21:30.200]  Or like that.
[21:30.200 --> 21:35.200]  Musli, płatki śniadaniowe itd.
[21:35.200 --> 21:37.200]  No dobrze.
[21:37.200 --> 21:40.200]  What's płatki?
[21:40.200 --> 21:43.200]  This is like cornflakes directly.
[21:43.200 --> 21:48.200]  We didn't borrow the same structure of name and that.
[21:48.200 --> 21:52.200]  But still płatki is like cornflakes for breakfast.
[21:52.200 --> 21:54.200]  Śniadaniowe, breakfast.
[21:54.200 --> 21:57.200]  Is płatki also like a pancake?
[21:57.200 --> 22:01.200]  To są jak naleśniki.
[22:01.200 --> 22:02.200]  Ok.
[22:02.200 --> 22:04.200]  Naleśniki.
[22:04.200 --> 22:06.200]  I feel like I've heard płatki in other places.
[22:06.200 --> 22:07.200]  Places.
[22:07.200 --> 22:08.200]  Placki.
[22:08.200 --> 22:09.200]  Placki.
[22:09.200 --> 22:10.200]  Placki.
[22:10.200 --> 22:11.200]  Placki.
[22:11.200 --> 22:12.200]  Placki.
[22:12.200 --> 22:13.200]  Placki.
[22:13.200 --> 22:14.200]  Placki.
[22:14.200 --> 22:17.200]  Na przykład coś takiego.
[22:17.200 --> 22:20.200]  To są placki.
[22:20.200 --> 22:22.200]  These are lot of actually, super good.
[22:22.200 --> 22:23.200]  Dobre?
[22:23.200 --> 22:25.200]  Tak, to jest dobre.
[22:25.200 --> 22:27.200]  To rekomenduje.
[22:27.200 --> 22:29.200]  I went to the other party.
[22:29.200 --> 22:31.200]  That's the first time I actually have this thing.
[22:31.200 --> 22:34.200]  Tak, zapopady super tradycyjne mają.
[22:34.200 --> 22:35.200]  Bardzo dobrze.
[22:35.200 --> 22:39.340]  Placki i jeszcze naleśniki.
[22:39.340 --> 22:42.260]  A naleśniki lubicie?
[22:42.260 --> 22:43.260]  Nie.
[22:43.260 --> 22:44.260]  Nie?
[22:44.260 --> 22:45.260]  Nie.
[22:45.260 --> 22:46.260]  Nie, nie.
[22:46.260 --> 22:49.260]  Nie wiem czy po takim akceptujemy.
[22:49.260 --> 22:55.220]  Dobre naleśniki w Krakowie to jest pan naleśnik.
[22:55.220 --> 22:57.220]  You heard about pan naleśnik?
[22:57.220 --> 23:02.220]  To jest blisko, ekstremalnie blisko Teatr Bagatela.
[23:02.220 --> 23:07.220]  They change the name probably, ale pan naleśnik.
[23:07.220 --> 23:12.220]  No i mają dużą ofertę, bardzo duża oferta.
[23:12.220 --> 23:13.220]  Słodkie.
[23:13.220 --> 23:14.220]  Co to słodkie?
[23:14.220 --> 23:15.220]  Sweet.
[23:15.220 --> 23:16.220]  Sweet.
[23:16.220 --> 23:22.220]  I takie niesłodkie, meksykańskie słone salty.
[23:22.220 --> 23:25.220]  Duża, duża opcja.
[23:25.220 --> 23:29.220]  Ok.
[23:29.220 --> 23:32.220]  I mamy, mamy.
[23:32.220 --> 23:35.220]  I mamy ekstra, o tutaj.
[23:35.220 --> 23:37.220]  To plus to.
[23:37.220 --> 23:39.220]  We have all these.
[23:39.220 --> 23:42.220]  Sól i...
[23:42.220 --> 23:43.220]  Słodkie.
[23:43.220 --> 23:44.220]  Dobrze, dobrze.
[23:44.220 --> 23:45.220]  Sól and something.
[23:45.220 --> 23:46.220]  Słodkie.
[23:46.220 --> 23:47.220]  Pieprz.
[23:47.220 --> 23:48.220]  Pieprz.
[23:48.220 --> 23:50.220]  We don't have options.
[23:50.220 --> 23:51.220]  I have pieprz.
[23:51.220 --> 23:52.220]  Pieprz.
[23:52.220 --> 23:53.220]  Pieprz.
[23:53.220 --> 23:54.220]  Pieprz.
[23:54.220 --> 23:55.220]  Pieprz.
[23:55.220 --> 23:56.220]  Pieprz.
[23:56.220 --> 23:57.220]  Pieprz.
[23:57.220 --> 23:58.220]  Pieprz.
[23:58.220 --> 23:59.220]  Pieprz.
[23:59.220 --> 24:00.220]  Pieprz.
[24:00.220 --> 24:01.220]  Pieprz.
[24:01.220 --> 24:02.220]  Pieprz.
[24:02.220 --> 24:03.220]  Pieprz.
[24:03.220 --> 24:04.220]  Pieprz.
[24:04.220 --> 24:05.220]  Lubicie pieprz?
[24:05.220 --> 24:06.220]  Tak.
[24:06.220 --> 24:07.220]  Tak.
[24:07.220 --> 24:08.220]  Dobrze.
[24:08.220 --> 24:09.220]  Proszę.
[24:09.220 --> 24:10.220]  Unrelated question.
[24:10.220 --> 24:14.220]  So, do they sell salted butter over here?
[24:14.220 --> 24:15.220]  Masło plus sól.
[24:15.220 --> 24:16.220]  Jest, to tak.
[24:16.220 --> 24:17.220]  Może być opcja super naturalna from farmer, tak, od rolnika.
[24:17.220 --> 24:18.220]  Tak.
[24:18.220 --> 24:19.220]  I on the market.
[24:19.220 --> 24:20.220]  I on the market.
[24:20.220 --> 24:21.220]  I on the market.
[24:21.220 --> 24:22.220]  On the market, we have there, we have butter.
[24:22.220 --> 24:23.220]  Małwo.
[24:23.220 --> 24:24.220]  Małwo.
[24:24.220 --> 24:25.220]  Małwo.
[24:25.220 --> 24:26.220]  Małwo.
[24:26.220 --> 24:27.220]  Małwo z sosem.
[24:27.220 --> 24:28.220]  Małwo z sosem.
[24:28.220 --> 24:29.220]  Małwo z sosem.
[24:29.220 --> 24:30.220]  Małwo z sosem.
[24:30.220 --> 24:31.220]  Małwo z sosem.
[24:31.220 --> 24:42.220]  Plac Imbramowski. Mówiłaś o Plac Imbramowski. To jest taki rynek. Jak to powiedzieć?
[24:42.220 --> 24:47.220]  Jest na przykład bliżej Bronowice, w regionie Igea.
[24:47.220 --> 24:52.220]  Ale ma trzy, cztery stopy w kierunku Serenady.
[24:52.220 --> 24:56.220]  I mają masło z solą.
[24:56.220 --> 25:01.220]  Też oferuje Lidl. Lidl ma opcję masło plus sól.
[25:01.220 --> 25:04.220]  Ale nie ekstremalnie naturalne.
[25:04.220 --> 25:06.220]  Tak, tak.
[25:06.220 --> 25:09.220]  Ale to jest super opcja. To jest dobre.
[25:09.220 --> 25:12.220]  Jest masło z solą.
[25:12.220 --> 25:14.220]  Masło z solą.
[25:14.220 --> 25:16.220]  Market. Supermarket.
[25:16.220 --> 25:19.220]  Widziałem w Carrefour.
[25:19.220 --> 25:21.220]  Lurpak ma masło.
[25:21.220 --> 25:24.220]  Lurpak to jest dobre masło.
[25:24.220 --> 25:28.220]  Jest też taka opcja.
[25:28.220 --> 25:31.220]  Lurpak. Lurpak jest słody.
[25:31.220 --> 25:33.220]  Kerrygold jest super dobry.
[25:33.220 --> 25:35.220]  Jest najlepszy.
[25:35.220 --> 25:37.220]  Z solą.
[25:37.220 --> 25:39.220]  Jest super dobry.
[25:39.220 --> 25:42.220]  Ale niedużo opcji.
[25:42.220 --> 25:45.220]  Tak, niedużo opcji ze solą, ale jest.
[25:45.220 --> 25:46.220]  I może...
[25:46.220 --> 25:48.220]  Proszę jeszcze raz.
[25:48.220 --> 25:54.220]  Dużo opcji to produkty naturalne.
[25:54.220 --> 25:56.220]  Tak? Od farmera.
[25:56.220 --> 25:58.220]  Jest więcej.
[25:58.220 --> 26:01.220]  Ale jest czasem drogo.
[26:01.220 --> 26:02.220]  Tak?
[26:02.220 --> 26:04.220]  Expensive.
[26:04.220 --> 26:06.220]  Tak, tak, tak.
[26:06.220 --> 26:09.220]  Jest lokalny rolnik.
[26:09.220 --> 26:11.220]  Lokalny farmer.
[26:11.220 --> 26:13.220]  Super, tak.
[26:13.220 --> 26:15.220]  Super, dobre pytanie.
[26:15.220 --> 26:17.220]  No dobrze.
[26:17.220 --> 26:19.220]  No i mamy sól, pieprz.
[26:19.220 --> 26:21.220]  To w porządku?
[26:21.220 --> 26:22.220]  Jest ok?
[26:22.220 --> 26:23.220]  No dobra.
[26:23.220 --> 26:25.220]  No to mamy kategorię.
[26:25.220 --> 26:30.220]  To jest kategoria pieczywo i ciasta.
[26:30.220 --> 26:32.220]  Pieczywo i ciasta.
[26:32.220 --> 26:34.220]  Jaki kontekst?
[26:34.220 --> 26:36.220]  Co to znaczy?
[26:36.220 --> 26:38.220]  Czaj.
[26:38.220 --> 26:39.220]  Czaj i piwo.
[26:39.220 --> 26:40.220]  Tak.
[26:40.220 --> 26:41.220]  Czaj i pieczywo.
[26:41.220 --> 26:43.220]  Czaj i ciasta.
[26:43.220 --> 26:46.220]  I jest tradycyjny chleb.
[26:46.220 --> 26:49.220]  Tutaj jest biały chleb.
[26:49.220 --> 26:50.220]  Tak.
[26:50.220 --> 26:51.220]  A bułka.
[26:51.220 --> 26:52.220]  Tak.
[26:52.220 --> 26:54.220]  Jest co to?
[26:54.220 --> 26:55.220]  Ponczek.
[26:55.220 --> 26:56.220]  Ponczek, tak.
[26:56.220 --> 26:57.220]  Ponczek, dobre?
[26:57.220 --> 26:58.220]  Tak.
[26:58.220 --> 26:59.220]  Tak.
[26:59.220 --> 27:02.220]  I jest popularne miejsce w Krakowie.
[27:02.220 --> 27:05.220]  To jest taki hot ponczek.
[27:05.220 --> 27:07.220]  Gorący ponczek.
[27:07.220 --> 27:08.220]  Tak?
[27:08.220 --> 27:09.220]  You heard about?
[27:09.220 --> 27:11.220]  The store, the sweat?
[27:11.220 --> 27:12.220]  Tak.
[27:12.220 --> 27:13.220]  I to jest to.
[27:13.220 --> 27:14.220]  To jest to.
[27:14.220 --> 27:15.220]  To jest tutaj.
[27:15.220 --> 27:16.220]  Kraków.
[27:16.220 --> 27:17.220]  Kraków.
[27:17.220 --> 27:18.220]  Tak?
[27:18.220 --> 27:19.220]  I don't know that one.
[27:19.220 --> 27:20.220]  To jest też tak.
[27:20.220 --> 27:21.220]  Dobra Ponczkarnia.
[27:21.220 --> 27:22.220]  Floriańska.
[27:22.220 --> 27:23.220]  Dobra Ponczkarnia.
[27:23.220 --> 27:24.220]  Tak.
[27:24.220 --> 27:25.220]  I Floriańska to jest centrum, rynek, prawda?
[27:25.220 --> 27:26.220]  Bardzo blisko.
[27:26.220 --> 27:31.220]  Dobra Ponczkarnia mają dobrą, bardzo dobrą, bardzo dobrą, bardzo dobrą, bardzo dobrą
[27:31.220 --> 27:32.220]  południowość.
[27:32.220 --> 27:33.220]  Tak.
[27:33.220 --> 27:34.220]  I to jest to.
[27:34.220 --> 27:35.220]  To jest to.
[27:35.220 --> 27:36.220]  To jest to.
[27:36.220 --> 27:37.220]  To jest to.
[27:37.220 --> 27:38.220]  To jest to.
[27:38.220 --> 27:39.220]  To jest to.
[27:39.220 --> 27:40.220]  To jest to.
[27:40.220 --> 27:41.220]  To jest to.
[27:41.220 --> 27:42.220]  To jest to.
[27:42.220 --> 27:43.220]  To jest to.
[27:43.220 --> 27:44.220]  To jest to.
[27:44.220 --> 27:45.220]  To jest to.
[27:45.220 --> 27:46.220]  To jest to.
[27:47.220 --> 27:48.220]  I tak, tak, tak.
[27:48.220 --> 27:49.220]  Dobrą ofertę, dużo opcji?
[27:49.220 --> 27:50.220]  Nutella, pistacja, klasyczne?
[27:50.220 --> 27:51.220]  I mean every place you go for this brand there's like some different
[27:51.220 --> 27:52.220]  types of, here like every other place.
[27:52.220 --> 27:53.220]  Dużo opcji.
[27:53.220 --> 27:54.220]  There's a store in the port near here.
[27:54.220 --> 27:55.220]  Yeah.
[27:55.220 --> 27:56.220]  There are more orders there.
[27:56.220 --> 27:57.220]  Yes, exactly.
[27:57.220 --> 27:58.220]  In the tunnel, it's two of them.
[27:58.220 --> 27:59.220]  Yes, yes, yes, there is two of them.
[27:59.220 --> 28:00.220]  Jest też taka alternatywna opcja, to jest pencer.
[28:00.220 --> 28:01.220]  They have poronce i pod rączką.
[28:01.220 --> 28:02.220]  I think it's like they have, I don't know.
[28:02.220 --> 28:03.220]  I don't know.
[28:03.220 --> 28:04.220]  I think they have two of them.
[28:04.220 --> 28:09.220]  Jest też taka alternatywna opcja, to jest...
[28:09.220 --> 28:10.220]  Przecel?
[28:10.220 --> 28:12.220]  Ja mam gorące.
[28:12.220 --> 28:17.220]  Bardzo, bardzo, jest duża temperatura i krem jest taki melted.
[28:17.220 --> 28:20.220]  Tak, jest naprawdę dobry.
[28:20.220 --> 28:23.220]  I oni dużo sprzedają, więc jest świeży.
[28:23.220 --> 28:29.220]  Tak, tak, tak. Jest też popularne miejsce, to jest gorący pretzel.
[28:29.220 --> 28:31.220]  Oh, tak.
[28:31.220 --> 28:34.220]  I to jest to.
[28:34.220 --> 28:37.220]  Stanowistyna?
[28:37.220 --> 28:42.220]  Tak, i dworzec, dworzec, blisko dworzec Kraków.
[28:42.220 --> 28:45.220]  Galeria Krakowska też underground.
[28:45.220 --> 28:48.220]  I think I've seen this one.
[28:48.220 --> 28:53.220]  I don't remember it properly because I don't think that I wrote here too.
[28:53.220 --> 28:55.220]  Correct.
[28:55.220 --> 29:00.220]  To jest dobra opcja, kiedy preferujesz słodkie plus słodkie.
[29:00.220 --> 29:02.220]  Plus słodkie.
[29:02.220 --> 29:03.220]  Tak?
[29:03.220 --> 29:04.220]  Słodkie.
[29:04.220 --> 29:08.220]  Precel jest słody, krem jest ekstremalnie słodki.
[29:08.220 --> 29:09.220]  Tak?
[29:09.220 --> 29:11.220]  To jest taki mix.
[29:11.220 --> 29:12.220]  Tak?
[29:12.220 --> 29:13.220]  W porządku?
[29:13.220 --> 29:14.220]  Tak.
[29:14.220 --> 29:15.220]  No dobra.
[29:15.220 --> 29:19.220]  No to jest porczek i jest klasycznie ciasto.
[29:19.220 --> 29:20.220]  Ciasto.
[29:20.220 --> 29:21.220]  Ciasto, tak.
[29:21.220 --> 29:23.220]  A to, co to?
[29:23.220 --> 29:24.220]  Ciasto.
[29:24.220 --> 29:25.220]  Ciasto.
[29:25.220 --> 29:26.220]  Dobrze, dobrze, dobrze.
[29:26.220 --> 29:27.220]  Wiśnia.
[29:27.220 --> 29:28.220]  Wiśnia.
[29:28.220 --> 29:29.220]  Wiśnia.
[29:29.220 --> 29:31.220]  No jest wiśnia, wiśnia.
[29:31.220 --> 29:32.220]  Bardzo dobrze.
[29:32.220 --> 29:36.220]  I jest super popularne drożdżówka.
[29:36.220 --> 29:37.220]  Drożdżówka.
[29:37.220 --> 29:38.220]  Drożdżówka.
[29:38.220 --> 29:44.220]  Drożdżówka to jest słodka bułka z kremem, tak?
[29:44.220 --> 29:47.220]  Z owocami, tak?
[29:47.220 --> 29:50.220]  Tak, sweet bułka, tak?
[29:50.220 --> 29:51.220]  Słodka bułka.
[29:51.220 --> 29:57.220]  Bardzo popularne w Polsce z kremem, z serem, tak?
[29:57.220 --> 29:58.220]  Ser biały, słodki.
[29:58.220 --> 29:59.220]  Słodki, tak?
[29:59.220 --> 30:00.220]  Drożdżówka.
[30:00.220 --> 30:01.220]  Drożdżówka.
[30:01.220 --> 30:02.220]  Lubicie drożdżówkę?
[30:02.220 --> 30:03.220]  Tak.
[30:03.220 --> 30:04.220]  Lubię herbatę.
[30:04.220 --> 30:05.220]  O, z herbatą.
[30:05.220 --> 30:06.220]  Dobrze, to dobry mix.
[30:06.220 --> 30:07.220]  Tak.
[30:07.220 --> 30:08.220]  Drożdżówka.
[30:08.220 --> 30:09.220]  Drożdżówka na przykład.
[30:09.220 --> 30:10.220]  Tak.
[30:10.220 --> 30:11.220]  Tak.
[30:11.220 --> 30:12.220]  Klasyka, tak?
[30:12.220 --> 30:13.220]  Drożdżówka.
[30:13.220 --> 30:14.220]  Typowa, typowa drożdżówka.
[30:14.220 --> 30:15.220]  Tak.
[30:15.220 --> 30:16.220]  W porządku?
[30:16.220 --> 30:17.220]  No dobrze.
[30:17.220 --> 30:18.220]  A przepraszam, czy coś jeszcze?
[30:18.220 --> 30:19.220]  Nie, nie, nie.
[30:19.220 --> 30:20.220]  Nie, nie.
[30:20.220 --> 30:21.220]  Nie, nie.
[30:21.220 --> 30:22.220]  Nie, nie.
[30:22.220 --> 30:23.220]  Nie, nie.
[30:23.220 --> 30:24.220]  Nie, nie.
[30:24.220 --> 30:25.220]  Nie, nie.
[30:25.220 --> 30:26.220]  Nie, nie.
[30:26.220 --> 30:27.220]  Nie, nie.
[30:27.220 --> 30:28.320]  Dobrze, dobra.
[30:28.320 --> 30:29.320]  Jeszcze jedno.
[30:29.320 --> 30:30.320]  Tak, co.
[30:30.320 --> 30:31.320]  D cheers!
[30:31.320 --> 30:32.320]  Dziękuję.
[30:32.320 --> 30:33.320]  Dziękuję.
[30:33.320 --> 30:34.320]  Więc radzisz to?
[30:34.320 --> 30:35.300]  No dobrze, dajmy ten do mnie.
[30:35.300 --> 30:36.300]  No dobrze.
[30:36.300 --> 30:37.300]  Proszę, proszę.
[30:37.300 --> 30:38.300]  Mam pytanie.
[30:38.300 --> 30:39.300]  Can you scroll?
[30:39.300 --> 30:40.300]  Proszę powtórzyć, co to znaczy, pieczywo?
[30:40.300 --> 30:41.300]  O jak bakery.
[30:41.300 --> 30:42.300]  Bakery.
[30:42.300 --> 30:43.300]  Tak, tak.
[30:43.300 --> 30:44.300]  Pieczywo, pieczywo.
[30:44.300 --> 30:45.300]  Tak, pieczywo.
[30:45.300 --> 30:46.300]  Popyt, ma lot of shops that say like piecinaria?
[30:46.300 --> 30:47.300]  Piekarnia.
[30:47.300 --> 30:48.300]  Bakery shop.
[30:48.300 --> 30:49.300]  I cukiernia.
[30:49.300 --> 30:50.300]  I cukiernia, tak.
[30:50.300 --> 30:52.400]  So it means like bakery and cukier is like sweet sweet.
[30:52.400 --> 30:53.400]  Sweet sweets, exactly.
[30:53.400 --> 30:54.780]  Cukiernia zawsze always słodkie.
[30:54.780 --> 30:55.780]  Weird way.
[30:55.780 --> 30:57.020]  Sweet, right?
[30:57.020 --> 31:03.020]  Bakery są słodkie, ale nie są niepewnione.
[31:03.020 --> 31:07.020]  Tak, ale nie są niepewnione, że są słodkie czy niepewnione.
[31:07.020 --> 31:11.020]  Na przykład, w Polsce, wiesz, Abitex, Buczek.
[31:11.020 --> 31:17.020]  To jest piekarnia, produkty słone i słodkie.
[31:17.020 --> 31:20.020]  Tak, typowo.
[31:20.020 --> 31:25.020]  A co to jest różnica między pieczewo i piekarnia?
[31:25.020 --> 31:32.020]  Pieczewo to chodzi tylko o chleb, bułkę, bagietkę.
[31:32.020 --> 31:37.020]  Piekarnia to jest coś takiego jak bakery, ale też wśród słodkich.
[31:37.020 --> 31:41.020]  Ale w imieniu sklepów nie mają normalnie tego słowa.
[31:41.020 --> 31:44.020]  Nie myślę, że ja widziałam... mają dużo słów...
[31:44.020 --> 31:46.020]  Piekarnia.
[31:46.020 --> 31:49.020]  Piekarnia, widzę, ale nie widzę dużo słów.
[31:49.020 --> 31:50.020]  Tak.
[31:50.020 --> 31:52.020]  Ale nie widzę słów na piersiowo.
[31:52.020 --> 31:54.020]  Piekarnia, to prawda.
[31:54.020 --> 31:59.020]  Tylko na przykład, jeśli idziesz na Oszoł, Biedronka, Lidl, możesz zobaczyć ten kategorię.
[31:59.020 --> 32:00.020]  A, ok.
[32:00.020 --> 32:06.020]  I to działa tak, ale nie zobaczysz piersiowo i ciasta, jak na piersiowo.
[32:06.020 --> 32:07.020]  Nie.
[32:07.020 --> 32:08.020]  Tylko bramki, czy coś.
[32:08.020 --> 32:10.020]  Abitex, Buczek, etc.
[32:10.020 --> 32:14.020]  Jaka jest dobra piekarnia w Krakowie?
[32:14.020 --> 32:16.020]  Dobra piekarnia?
[32:16.020 --> 32:17.020]  Dobra piekarnia?
[32:17.020 --> 32:19.020]  Ulajkonik?
[32:19.020 --> 32:20.020]  Ulajkonik.
[32:20.020 --> 32:22.020]  Ulajkonik to jest dobra piekarnia.
[32:22.020 --> 32:23.020]  Tak.
[32:23.020 --> 32:27.020]  Lepszy... lepszy do...
[32:27.020 --> 32:28.020]  Abitex.
[32:28.020 --> 32:29.020]  Abitex?
[32:29.020 --> 32:32.020]  I think ulajkonik is better.
[32:32.020 --> 32:33.020]  Tak.
[32:33.020 --> 32:34.020]  Tak.
[32:34.020 --> 32:35.020]  Ulajkonik is better.
[32:35.020 --> 32:36.020]  Maybe to says like that.
[32:36.020 --> 32:40.020]  Abitex to jest duży marketing.
[32:40.020 --> 32:41.020]  Tak.
[32:41.020 --> 32:44.020]  Dużo sklepów.
[32:44.020 --> 32:45.020]  Komercyjny.
[32:45.020 --> 32:46.020]  Komercyjny.
[32:46.020 --> 32:47.020]  Kupony.
[32:47.020 --> 32:48.020]  Tak.
[32:48.020 --> 32:49.020]  Dobra.
[32:49.020 --> 32:50.020]  I to jest dobra piekarnia.
[32:50.020 --> 32:51.020]  Tak.
[32:51.020 --> 32:52.020]  I to jest dobra piekarnia.
[32:52.020 --> 32:53.020]  Ok.
[32:53.020 --> 32:54.020]  Super.
[32:54.020 --> 32:55.020]  No to co?
[32:55.020 --> 32:56.020]  To mamy następną sekcję.
[32:56.020 --> 32:57.020]  Nabiała.
[32:57.020 --> 32:58.020]  Co to jest nabiała?
[32:58.020 --> 32:59.020]  Dirty.
[32:59.020 --> 33:00.020]  Dirty.
[33:00.020 --> 33:01.020]  Dirty.
[33:01.020 --> 33:02.020]  Produkty mleczne.
[33:02.020 --> 33:03.020]  Tak.
[33:03.020 --> 33:04.020]  Produkty mleczne.
[33:04.020 --> 33:05.020]  Nabiał, synonim.
[33:05.020 --> 33:06.020]  Produkty mleczne.
[33:06.020 --> 33:07.020]  Tak.
[33:07.020 --> 33:08.020]  Typowa biedronka, typowy lidr, typowy oszoł.
[33:08.020 --> 33:09.020]  Sekcja nabiał.
[33:09.020 --> 33:10.020]  Produkty mleczne.
[33:10.020 --> 33:11.020]  Tak.
[33:11.020 --> 33:12.020]  Produkty mleczne.
[33:12.020 --> 33:13.020]  Tak.
[33:13.020 --> 33:14.020]  Tak.
[33:14.020 --> 33:15.020]  Tak.
[33:15.020 --> 33:16.020]  Tak.
[33:16.020 --> 33:17.020]  Tak.
[33:17.020 --> 33:18.020]  Tak.
[33:18.020 --> 33:19.020]  Produkty mleczne.
[33:19.020 --> 33:20.020]  Akceptujecie produkty mleczne?
[33:20.020 --> 33:21.020]  Tak?
[33:21.020 --> 33:22.020]  Laktoza?
[33:22.020 --> 33:23.020]  Nie.
[33:23.020 --> 33:24.020]  Nie.
[33:24.020 --> 33:25.020]  Dobrze.
[33:25.020 --> 33:26.020]  Laktoza identycznie, tak.
[33:26.020 --> 33:27.020]  How would you call someone who is a lactose intolerant in Polish?
[33:27.020 --> 33:28.020]  Lactose ud?
[33:28.020 --> 33:29.020]  Endorin.
[33:29.020 --> 33:30.020]  Bardzo identycznie.
[33:30.020 --> 33:31.020]  To jest niedobro.
[33:31.020 --> 33:32.020]  Lactose ud?
[33:32.020 --> 33:33.020]  Dobra.
[33:33.020 --> 33:34.020]  Tak.
[33:34.020 --> 33:35.020]  Dokładnie.
[33:35.020 --> 33:36.020]  Dokładnie.
[33:36.020 --> 33:37.020]  Dokładnie.
[33:37.020 --> 33:38.020]  Dokładnie.
[33:38.020 --> 33:39.020]  Dokładnie.
[33:39.020 --> 33:40.020]  Dokładnie.
[33:40.020 --> 33:41.020]  Dokładnie.
[33:41.020 --> 33:42.020]  Dokładnie.
[33:42.020 --> 33:43.020]  Dokładnie.
[33:43.020 --> 33:44.020]  Dokładnie.
[33:44.020 --> 33:45.020]  Dokładnie.
[33:45.020 --> 33:46.020]  Dokładnie.
[33:46.020 --> 33:47.020]  Dokładnie.
[33:47.020 --> 33:49.020]  Nietolerancja, tak?
[33:49.020 --> 33:53.020]  Tolerancja, nietolerancja, laktozy.
[33:53.020 --> 33:55.020]  Laktozy.
[33:55.020 --> 34:00.020]  We change because of our grammar, because this is like intolerant of what in Polish.
[34:00.020 --> 34:02.020]  That's why we change.
[34:02.020 --> 34:05.020]  Nietolerancja, laktozy.
[34:07.020 --> 34:08.020]  Rozumiem.
[34:08.020 --> 34:10.020]  Rozumiem, tak.
[34:10.020 --> 34:12.020]  Dobrze.
[34:12.020 --> 34:14.020]  To mamy coś takiego.
[34:14.020 --> 34:16.020]  Jest klasyka.
[34:16.020 --> 34:17.020]  Mleko.
[34:17.020 --> 34:19.020]  Świetlana, 18%.
[34:19.020 --> 34:21.020]  Cream.
[34:21.020 --> 34:22.020]  Tak.
[34:22.020 --> 34:23.020]  Jogurt.
[34:23.020 --> 34:24.020]  Jogurt.
[34:24.020 --> 34:27.020]  Jogurt wiśniowy, wiśnia.
[34:27.020 --> 34:30.020]  Masło, 87%.
[34:33.020 --> 34:35.020]  Ser biały.
[34:35.020 --> 34:37.020]  Węgiel.
[34:37.020 --> 34:38.020]  Tak.
[34:38.020 --> 34:39.020]  Żółty.
[34:39.020 --> 34:40.020]  Jajko.
[34:40.020 --> 34:42.020]  W porządku?
[34:42.020 --> 34:43.020]  W porządku.
[34:43.020 --> 34:44.020]  No dobrze.
[34:44.020 --> 34:46.020]  Ale produkty mleczne.
[34:47.020 --> 34:50.020]  I następna sekcja to owoce.
[34:50.020 --> 34:52.020]  Tak.
[34:52.020 --> 34:56.020]  Jest jabłko, tak.
[34:57.020 --> 34:58.020]  Gruszka.
[34:58.020 --> 35:01.020]  Gruszka, to jest gruszka, super.
[35:01.020 --> 35:03.020]  Banan, klasyka.
[35:03.020 --> 35:07.020]  To warańcza, ekstra.
[35:07.020 --> 35:09.020]  Truskawka.
[35:09.020 --> 35:11.020]  No.
[35:11.020 --> 35:13.020]  Malina, tak.
[35:13.020 --> 35:15.020]  Tak.
[35:15.020 --> 35:18.020]  Winogrona, też popularne w Polsce, bardzo.
[35:18.020 --> 35:19.020]  Tak.
[35:19.020 --> 35:21.020]  I epilog, tak.
[35:21.020 --> 35:22.020]  Brzoskwinia.
[35:22.020 --> 35:25.020]  Brzoskwinia, looking like tomato, tutaj.
[35:25.020 --> 35:26.020]  Tak.
[35:26.020 --> 35:27.020]  What is it?
[35:27.020 --> 35:28.020]  Pitch.
[35:28.020 --> 35:29.020]  Pitch, pitch.
[35:29.020 --> 35:30.020]  Pitch.
[35:30.020 --> 35:31.020]  That looks like tomato.
[35:31.020 --> 35:32.020]  Tak.
[35:32.020 --> 35:33.020]  Tak.
[35:33.020 --> 35:35.020]  Brzoskwinia i arbuz.
[35:35.020 --> 35:36.020]  Arbuz.
[35:36.020 --> 35:37.020]  Tak.
[35:37.020 --> 35:38.020]  I jest arbuz.
[35:38.020 --> 35:39.020]  Aha.
[35:39.020 --> 35:40.020]  No dobrze.
[35:40.020 --> 35:41.020]  Co lubicie?
[35:41.020 --> 35:42.020]  Arbuz.
