"C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Scripts\python.exe" "C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\transcribe.py"
C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Lib\site-packages\whisper\transcribe.py:132: UserWarning: FP16 is not supported on CPU; using FP32 instead
  warnings.warn("FP16 is not supported on CPU; using FP32 instead")
[00:00.000 --> 00:19.820]  Dobra. Zaczynamy czas przeszły.
[21:54.520 --> 21:58.520]  No ale tatuś, jak ty się czujesz?
[21:58.520 --> 22:01.520]  Dobrze. Wczoraj długo spałem.
[22:05.520 --> 22:07.520]  Oglądałem telewizję.
[22:08.520 --> 22:10.520]  Trochę spacerowałem.
[22:10.520 --> 22:12.520]  A co jadłeś na obiad?
[22:14.520 --> 22:16.520]  No co ty się mnie pytasz jak dziecka?
[22:16.520 --> 22:19.520]  Jadłem, jadłem obiad.
[22:21.520 --> 22:22.520]  Ok.
[22:24.560 --> 22:25.520]  Okej.
[22:35.520 --> 22:37.520]  D sternaland.
[22:38.520 --> 22:40.520]  D明남 hydrologa.
[22:42.520 --> 22:43.520]  Opение też, tam nie.
[22:43.520 --> 22:44.520]  Gńie im nie wyustanie?
[22:44.520 --> 22:46.560]  Gie, on enhanced.
[22:49.520 --> 22:51.520]  O, Chips, jak chcesz wytrzeć?
[22:52.520 --> 22:53.520]  Bardzo proszę.
[22:54.520 --> 22:58.760]  Dobra, próbujemy. Próbujemy czy jeszcze raz?
[22:59.760 --> 23:00.060]  Tak.
[23:00.380 --> 23:00.840]  Jeszcze raz?
[23:01.160 --> 23:03.540]  Dobra, jeszcze raz. Ale w całości.
[23:03.540 --> 23:08.820]  No cześć Martuniu, co tam u ciebie słychać? Dawno nie dzwoniłaś.
[23:08.860 --> 23:15.160]  Tak, przepraszam tato. Wierzę, że ostatnio byłam bardzo zajęta. Miałam tak dużo pracy.
[23:15.340 --> 23:20.260]  Nic nie szkodzi kochanie, ale co słychać u ciebie? Jak było w Zakopanem?
[23:20.560 --> 23:21.200]  Świetnie.
[23:21.420 --> 23:22.640]  A jaka była pogoda?
[23:23.020 --> 23:24.220]  Bardzo ładna tato.
[23:24.220 --> 23:29.840]  A z kim ty byłaś na tej wycieczce? Nie pamiętam z kim planowałaś jechać. Z Jackiem?
[23:30.020 --> 23:37.760]  Nie, nie z Jackiem. Nie mam z nim teraz kontaktu. Byłam z kolegami z pracy. No ale tatuś, jak ty się czujesz?
[23:38.300 --> 23:43.220]  Dobrze. Wczoraj długo spałem. Oglądałem telewizję, trochę spacerowałem.
[23:44.180 --> 23:45.620]  A co jadłeś na obiad?
[23:45.820 --> 23:50.080]  No co ty się mnie pytasz jak dziecka? Jadłem, jadłem obiad.
[23:54.220 --> 24:20.220]  No to co?
[24:20.260 --> 24:22.020]  No to co?
[24:22.060 --> 24:24.100]  Marta dzwoni, mówi.
[24:24.100 --> 24:27.060]  Że wiesz, że ostatnio?
[24:27.100 --> 24:28.600]  Byłam.
[24:28.640 --> 24:29.940]  Byłam.
[24:29.980 --> 24:32.940]  Bardzo zajęta.
[24:32.980 --> 24:34.680]  Miałam.
[24:34.720 --> 24:37.400]  Miałam, super. Dużo pracy.
[24:37.440 --> 24:43.860]  Tata mówi, nic nie szkodzi. Co u ciebie słychać? Jak?
[24:43.900 --> 24:44.940]  Było.
[24:44.980 --> 24:50.760]  Było w Zakopanem. Marta mówi świetnie, a tata pyta. Jaka?
[24:50.800 --> 24:52.900]  Była.
[24:52.940 --> 24:53.940]  Była.
[24:54.100 --> 24:58.600]  Pogoda. I potem pyta, a z kim ty?
[24:58.640 --> 25:02.640]  Byłaś.
[25:02.680 --> 25:07.100]  Byłaś, super. Na tej wycieczce. Nie pamiętam z kim?
[25:07.140 --> 25:09.140]  Planowałaś.
[25:09.180 --> 25:16.980]  Planowałaś jechać. Marta mówi, że nie ma z nim teraz kontaktu.
[25:17.020 --> 25:21.020]  Byłam.
[25:21.060 --> 25:22.900]  Byłam.
[25:22.900 --> 25:26.200]  I teraz między tymi latami.
[25:26.240 --> 25:27.420]  Tata mówi Shit?
[25:27.440 --> 25:29.740]  To Tata mówi.
[25:29.780 --> 25:32.320]  Powiedziała, że chcę spocumented.
[25:32.360 --> 25:35.400]  Jak się Friday night grał?
[25:35.440 --> 25:37.620]  Było cualquier.
[25:37.660 --> 25:39.520]  Czekali np. Pobija nas w kamienie?
[25:39.560 --> 25:41.400]  praticamente.
[25:41.440 --> 25:42.600]  Tak váš?
[25:42.660 --> 25:44.360]  Oczywiście.
[25:44.400 --> 25:44.820]  Wasze Litwie skojarzały wECH ?
[25:44.900 --> 25:47.620]  W�ach zaś bloody over time.
[25:47.660 --> 25:49.480]  I אמ historie doキанием?
[25:49.520 --> 25:51.400]  Tak, z this story, the fact that...
[25:51.400 --> 25:52.400]  Jadłaś?
[25:52.400 --> 25:53.400]  Jadłem.
[25:53.400 --> 25:55.400]  Aha, dobra.
[25:55.400 --> 25:59.400]  No i teraz tak, możemy sobie zobaczyć dalej.
[25:59.400 --> 26:01.400]  Następna osoba.
[26:01.400 --> 26:07.400]  Tutaj mamy pokazane, w jaki sposób tworzymy czas przeszłych.
[26:07.400 --> 26:12.400]  Teraz tak, ja to spróbuję rozpisać.
[26:12.400 --> 26:15.400]  Weźmy sobie jakiś czasownik.
[26:21.400 --> 26:27.400]  Czy znamy czasownik studiować?
[26:27.400 --> 26:30.400]  Co znaczy studiować?
[26:30.400 --> 26:31.400]  Tu jest w sferze.
[26:31.400 --> 26:33.400]  Tu jest w sferze.
[26:33.400 --> 26:35.400]  No to niech będzie.
[26:35.400 --> 26:42.400]  Studiować, tak? I mamy czasownik.
[26:42.400 --> 26:48.400]  I teraz tak.
[26:48.400 --> 26:53.400]  Jak zrobić czas przeszłych?
[26:53.400 --> 26:55.400]  Bierzemy czasownik.
[26:55.400 --> 27:01.400]  Ucinamy tą końcówkę "-ci".
[27:01.400 --> 27:12.400]  Dodajemy literę "-ły".
[27:12.400 --> 27:16.400]  Also "-li", bo to jest liter.
[27:16.400 --> 27:18.400]  Dodajemy "-ły".
[27:18.400 --> 27:24.400]  I to jest oznaczenie, że to jest czas przeszły.
[27:24.400 --> 27:32.400]  So when we see "-ły", inny czasownik, that's probably czas przeszły.
[27:32.400 --> 27:36.400]  Dobra.
[27:36.400 --> 27:42.400]  Potem dodajemy końcówkę.
[27:42.400 --> 27:47.400]  To zrobię tak, żeby to niech będzie trochę męski.
[27:48.400 --> 27:59.400]  To niech będzie rodzaj żeński.
[27:59.400 --> 28:09.400]  Czyli tak samo.
[28:09.400 --> 28:12.400]  Zabieramy tą końcówkę.
[28:12.400 --> 28:23.400]  Dopisujemy "-ły".
[28:23.400 --> 28:34.400]  Dodajemy końcówkę osobową.
[28:34.400 --> 28:35.400]  Tak?
[28:35.400 --> 28:38.400]  Jeśli mamy "-a", to wiemy, że to jest rodzaj żeński.
[28:38.400 --> 28:40.400]  Czyli rodzaj męski.
[28:40.400 --> 28:44.400]  Czyli dodajemy nic, ale w rodzaju żeńskim dodajemy końcówkę.
[28:44.400 --> 28:47.400]  W rodzaju nijakim byłaby to końcówka jaka?
[28:47.400 --> 28:53.400]  What would be the ending in rodzaj nijaki?
[28:53.400 --> 28:54.400]  "-o".
[28:54.400 --> 28:56.400]  A jest w żeńskim?
[28:56.400 --> 28:58.400]  "-o".
[28:58.400 --> 29:03.400]  Na przykład to dziecko studiowało.
[29:03.400 --> 29:04.400]  Ok.
[29:04.400 --> 29:07.400]  I na końcu...
[29:07.400 --> 29:11.400]  Dodajemy... co?
[29:11.400 --> 29:26.400]  Hmm...
[29:26.400 --> 29:27.400]  Ok.
[29:27.400 --> 29:29.400]  Czy to może być na przykład "-my"?
[29:29.400 --> 29:31.400]  Ja studiowałam...
[29:31.400 --> 29:34.400]  Albo może być "-si".
[29:34.400 --> 29:36.400]  Ty studiowałaś...
[29:37.400 --> 29:39.400]  Albo...
[29:39.400 --> 29:43.400]  Hmm...
[29:43.400 --> 29:45.400]  Ona studiowała.
[29:45.400 --> 29:47.400]  Wtedy nie dodajemy nic.
[29:47.400 --> 29:49.400]  Ok.
[29:49.400 --> 29:52.400]  Jak to wygląda w liczbie mnogiej?
[29:52.400 --> 29:56.400]  W liczbie mnogiej wygląda bardzo podobnie.
[29:56.400 --> 29:59.400]  Trudno sobie jeszcze zapisać samą.
[29:59.400 --> 30:01.400]  Dobra.
[30:01.400 --> 30:03.400]  W rodzaju męskim.
[30:03.400 --> 30:05.400]  Czucie, czucie.
[30:05.400 --> 30:09.400]  Ja, ty, on.
[30:09.400 --> 30:10.400]  Ok.
[30:10.400 --> 30:12.400]  Ja co robiłem?
[30:12.400 --> 30:15.400]  Hmm...
[30:15.400 --> 30:16.400]  Nie do końca.
[30:16.400 --> 30:17.400]  Ok.
[30:17.400 --> 30:24.400]  Na przykład tak.
[30:24.400 --> 30:27.400]  Dobra.
[30:27.400 --> 30:33.400]  Ja studiowałem...
[30:33.400 --> 30:36.400]  A ty?
[30:36.400 --> 30:38.400]  Studiowałeś.
[30:38.400 --> 30:45.400]  Studiowałeś.
[30:45.400 --> 30:50.400]  A on?
[30:50.400 --> 30:52.400]  Studiował.
[30:52.400 --> 30:53.400]  Studiował.
[30:53.400 --> 30:55.400]  Uwaga na wymogę.
[30:55.400 --> 30:58.400]  To jest "-ły".
[30:58.400 --> 30:59.400]  Tak?
[30:59.400 --> 31:00.400]  Nie "-wy".
[31:00.400 --> 31:01.400]  Studiował.
[31:01.400 --> 31:02.400]  Ok.
[31:02.400 --> 31:04.400]  Ok.
[31:04.400 --> 31:05.400]  Rodzaj żeński.
[31:05.400 --> 31:08.400]  Nie.
[31:08.400 --> 31:12.400]  Ja co robiłam?
[31:12.400 --> 31:14.400]  Studiowałam.
[31:14.400 --> 31:15.400]  Studiowałam.
[31:15.400 --> 31:17.400]  A ty?
[31:17.400 --> 31:18.400]  Studiowałaś.
[31:18.400 --> 31:23.400]  Studiowałaś. Ok.
[31:23.400 --> 31:24.400]  A ona?
[31:24.400 --> 31:26.400]  Studiowała.
[31:26.400 --> 31:28.400]  Oh.
[31:28.400 --> 31:29.400]  Ok.
[31:29.400 --> 31:31.400]  Ok.
[31:31.400 --> 31:35.400]  A jak byśmy chcieli zrobić rodzeń nijaki?
[31:35.400 --> 31:39.400]  Studiujem włało.
[31:39.400 --> 31:43.400]  To będzie tylko trzecia osoba.
[31:43.400 --> 31:45.400]  Nie ma pierwszej, nie ma drugiej.
[31:45.400 --> 31:48.400]  Mamy tylko trzecią.
[31:48.400 --> 31:52.400]  Ono studiowało.
[31:52.400 --> 31:58.400]  W polskim języku nie ma pierwszego i drugiego rodzaju nijaka.
[31:58.400 --> 32:02.400]  No dobra.
[32:02.400 --> 32:06.400]  To spróbujmy zrobić jakiś inny czasownik.
[32:06.400 --> 32:13.400]  Jakie mieliśmy czasowniki w zadaniu?
[32:13.400 --> 32:16.400]  Na przykład mamy w rozmowie
[32:16.400 --> 32:22.400]  Jacek dzwoni do Ani i tam jest czasownik szukać.
[32:22.400 --> 32:24.400]  No to spróbujmy.
[32:24.400 --> 32:27.400]  Czasownik szukać w czasie przeszłoń.
[32:27.400 --> 32:28.400]  Ja
[32:28.400 --> 32:37.400]  Pojedyncza?
[32:37.400 --> 32:40.400]  Szukał.
[32:40.400 --> 32:43.400]  Szukałem.
[32:43.400 --> 32:47.400]  Szukałem. Rodzeń nijaki. Ja szukałem. A ty?
[32:47.400 --> 32:48.400]  Szukałeś.
[32:48.400 --> 32:50.400]  To jest kisza mnoga, prawda?
[32:50.400 --> 32:52.400]  Nie, to jest rodzaj nijaki.
[32:52.400 --> 32:57.400]  Ale...
[32:57.400 --> 33:01.400]  Studiowałaś, że jak maksimum głównego rac manages?
[33:01.400 --> 33:03.400]  Rozaj thankful.
[33:03.400 --> 33:04.400]  Tak.
[33:04.400 --> 33:06.400]  To jest studio wałem.
[33:06.400 --> 33:22.400]  To jest studio vałem.
[33:22.400 --> 33:24.400]  Studiowałem.
[33:24.400 --> 33:26.400]  To jest to samo.
[33:30.400 --> 33:32.400]  Nie, to znaczy...
[33:34.400 --> 33:36.400]  Czy powinno to znaczyć coś w innym kolorze?
[33:36.400 --> 33:38.400]  Tak.
[33:38.400 --> 33:40.400]  Czerwony,
[33:40.400 --> 33:42.400]  ły, to zawsze czas przeszły.
[33:42.400 --> 33:44.400]  Kiedy widzisz ły,
[33:44.400 --> 33:46.400]  szukałam,
[33:46.400 --> 33:48.400]  jadłem,
[33:48.400 --> 33:50.400]  pisałam, czytałeś,
[33:50.400 --> 33:52.400]  coś w tym stylu.
[33:52.400 --> 33:54.400]  Więc słowa nie skończą się w ły.
[33:54.400 --> 33:56.400]  Tylko mówisz, że może to mieć ły.
[33:56.400 --> 33:58.400]  Tak.
[33:58.400 --> 34:00.400]  Może to mieć ły, ale będzie coś w tym stylu.
[34:00.400 --> 34:02.400]  Tak, tak.
[34:02.400 --> 34:04.400]  Więc całe słowo będzie...
[34:04.400 --> 34:06.400]  Przepraszam, to było...
[34:06.400 --> 34:08.400]  Bo w innych językach,
[34:08.400 --> 34:10.400]  na przykład,
[34:10.400 --> 34:12.400]  ona była...
[34:12.400 --> 34:14.400]  Nie była.
[34:14.400 --> 34:16.400]  Ona...
[34:16.400 --> 34:18.400]  Nie, nie.
[34:18.400 --> 34:20.400]  Slepała.
[34:20.400 --> 34:22.400]  Ok.
[34:22.400 --> 34:24.400]  Nie.
[34:24.400 --> 34:26.400]  Ok, to jest
[34:26.400 --> 34:28.400]  ona śpiła.
[34:28.400 --> 34:30.400]  Więc ona, wiesz, która osoba.
[34:30.400 --> 34:32.400]  Wiesz, jaki gender.
[34:32.400 --> 34:34.400]  Więc mamy gender tutaj, na końcu.
[34:34.400 --> 34:36.400]  Aha.
[34:36.400 --> 34:38.400]  Ona śpiła.
[34:38.400 --> 34:40.400]  Więc wiesz, że...
[34:40.400 --> 34:42.400]  Szybko.
[34:42.400 --> 34:44.400]  Więc ed na końcu, wiesz,
[34:44.400 --> 34:46.400]  to jest przeszły.
[34:46.400 --> 34:48.400]  Więc mamy przeszły tutaj, w tym jednym słowie.
[34:48.400 --> 34:50.400]  Aha.
[34:50.400 --> 34:52.400]  I...
[34:52.400 --> 34:54.400]  Tutaj masz...
[34:54.400 --> 34:56.400]  Kto?
[34:56.400 --> 34:58.400]  Tak, ja, ty, ona.
[34:58.400 --> 35:00.400]  Więc dlaczego jest E w białym?
[35:00.400 --> 35:02.400]  Bo to jest jej gender.
[35:02.400 --> 35:04.400]  Więc nie ma przeszły, ani nie ma przeszły.
[35:04.400 --> 35:06.400]  Więc W oznacza, że będzie...
[35:06.400 --> 35:08.400]  W oznacza, że będzie...
[35:08.400 --> 35:10.400]  Prawdopodobnie, albo zawsze?
[35:10.400 --> 35:12.400]  Prawdopodobnie.
[35:12.400 --> 35:14.400]  Powiedziałabym zawsze, ale...
[35:14.400 --> 35:16.400]  Zawsze?
[35:16.400 --> 35:18.400]  Zawsze, ale oczywiście...
[35:18.400 --> 35:20.400]  Zawsze, ale...
[35:20.400 --> 35:24.400]  W oznacza, że będzie przeszły.
[35:24.400 --> 35:26.400]  Tak.
[35:26.400 --> 35:28.400]  Kolejny słówka oznacza gender.
[35:28.400 --> 35:30.400]  Tak.
[35:30.400 --> 35:32.400]  I co to jest M?
[35:32.400 --> 35:34.400]  Kto? Ja, ty, ona, on, on.
[35:34.400 --> 35:36.400]  Więc osoba. Która osoba?
[35:36.400 --> 35:38.400]  Pierwsza osoba, druga osoba, trzecia osoba.
[35:38.400 --> 35:40.400]  Okej?
[35:40.400 --> 35:42.400]  Więc możemy wyciągnąć to tutaj.
[35:44.400 --> 35:46.400]  Więc mamy W.
[35:50.400 --> 35:52.400]  I mamy osobę.
[35:58.400 --> 36:00.400]  I mamy końcówkę.
[36:00.400 --> 36:02.400]  I mamy osobę.
[36:02.400 --> 36:04.400]  Ja, ty, on, ja, ty, ona.
[36:04.400 --> 36:06.400]  Ja, ty, on, ja, ty, ona.
[36:06.400 --> 36:08.400]  Ja, ty, on, ja, ty, ona.
[36:08.400 --> 36:10.400]  Tak? Mówiliśmy.
[36:10.400 --> 36:12.400]  Takie zero oznacza, że nie ma końcówki.
[36:12.400 --> 36:14.400]  When we have this symbol,
[36:14.400 --> 36:16.400]  doesn't mean that there is no ending.
[36:16.400 --> 36:18.400]  Rozumiemy?
[36:18.400 --> 36:20.400]  Mhm.
[36:20.400 --> 36:22.400]  Próbujmy jeszcze jakiś czasownik.
[36:22.400 --> 36:24.400]  Eeeem...
[36:26.400 --> 36:28.400]  Oglądać.
[36:28.400 --> 36:30.400]  Okej.
[36:30.400 --> 36:32.400]  Rodzaj żeński.
[36:32.400 --> 36:34.400]  Ja co robiłam?
[36:36.400 --> 36:38.400]  Oglądałam.
[36:38.400 --> 36:40.400]  Ty?
[36:40.400 --> 36:42.400]  Oglądała.
[36:42.400 --> 36:44.400]  Mhm.
[36:44.400 --> 36:46.400]  Ona?
[36:46.400 --> 36:48.400]  Oglądała.
[36:48.400 --> 36:50.400]  Oglądała. Super.
[36:50.400 --> 36:52.400]  I tutaj jeszcze coś.
[36:52.400 --> 36:54.400]  Eeeem...
[36:54.400 --> 36:56.400]  Dzwonić.
[36:56.400 --> 36:58.400]  Ja co robiłem?
[36:58.400 --> 37:00.400]  Dzwoniłem.
[37:00.400 --> 37:02.400]  Dzwoniłem. Ty?
[37:02.400 --> 37:04.400]  Dzwoniłeś.
[37:04.400 --> 37:06.400]  Dzwoniłeś. On?
[37:06.400 --> 37:08.400]  Dzwonił.
[37:08.400 --> 37:10.400]  Rodzaj żeński. Ja?
[37:10.400 --> 37:12.400]  Dzwoniłam.
[37:12.400 --> 37:14.400]  Ty?
[37:14.400 --> 37:16.400]  Dzwoniłaś.
[37:16.400 --> 37:18.400]  Ona dzwoniła. Super. Rozumiemy?
[37:18.400 --> 37:20.400]  Tak.
[37:20.400 --> 37:24.400]  Więc dla rozajnijaki zawsze będzie...
[37:24.400 --> 37:28.400]  Nie mamy innych.
[37:28.400 --> 37:30.400]  To nie jest pierwsza osoba, a druga osoba.
[37:30.400 --> 37:32.400]  Tak.
[37:32.400 --> 37:34.400]  Tak.
[37:34.400 --> 37:38.400]  Ale myślałem, że używasz tego, żeby rozmawiać z dziećmi.
[37:38.400 --> 37:40.400]  Mhm.
[37:40.400 --> 37:42.400]  Ale co, druga osoba, która rozmawia z dzieckiem?
[37:42.400 --> 37:44.400]  Mhm.
[37:44.400 --> 37:46.400]  T.
[37:46.400 --> 37:48.400]  Nie ma jakichś...
[37:48.400 --> 37:50.400]  Tak, ale...
[37:50.400 --> 37:52.400]  Hmm...
[37:52.400 --> 37:56.400]  Poznań polski nie ma tego...
[37:56.400 --> 37:58.400]  Eeeem...
[37:58.400 --> 38:02.400]  Ale kiedy rozmawiasz z dzieckiem, to dziecko ma jakieś narzędzia.
[38:02.400 --> 38:04.400]  Więc to jest...
[38:04.400 --> 38:06.400]  Więc kiedy rozmawiasz z dzieckiem, to jest takie narzędzia.
[38:06.400 --> 38:08.400]  Tak.
[38:08.400 --> 38:12.400]  Ale rozajnijaki, kiedy rozmawiasz z dzieckiem, to jest generalnie?
[38:12.400 --> 38:14.400]  Tak.
[38:14.400 --> 38:16.400]  Mhm.
[38:16.400 --> 38:18.400]  Ale dziecko nie mówi...
[38:18.400 --> 38:20.400]  studiowałom?
[38:20.400 --> 38:22.400]  Tak, pewnie nie.
[38:22.400 --> 38:24.400]  Mhm.
[38:24.400 --> 38:26.400]  W kartonie czy coś.
[38:26.400 --> 38:28.400]  Ale...
[38:28.400 --> 38:30.400]  Ale to będzie generalnie...
[38:30.400 --> 38:32.400]  Nie chcę dostać się do dalszego, ale...
[38:32.400 --> 38:34.400]  Tak, tak.
[38:34.400 --> 38:36.400]  Ale można zobaczyć więcej tego, szczególnie online.
[38:36.400 --> 38:38.400]  Tak.
[38:38.400 --> 38:40.400]  Niezależne rzeczy.
[38:40.400 --> 38:42.400]  Ale język polski nie jest tak przerażony, by się z tym przystąpić.
[38:42.400 --> 38:44.400]  Tak.
[38:44.400 --> 38:46.400]  Ja tylko się zastanawiam o dziecku.
[38:46.400 --> 38:48.400]  Dziecko, które zazwyczaj używa...
[38:48.400 --> 38:50.400]  Gendery?
[38:50.400 --> 38:52.400]  Ok.
[38:52.400 --> 38:54.400]  Ale jeżeli mówimy o danym dziecku, to zazwyczaj używamy trzeciego człowieka.
[38:54.400 --> 38:56.400]  Więc ono.
[38:56.400 --> 38:58.400]  To dziecko.
[38:58.400 --> 39:00.400]  Ok.
[39:00.400 --> 39:02.400]  Czy jeszcze jakieś pytania?
[39:02.400 --> 39:04.400]  Nie.
[39:04.400 --> 39:06.400]  Ok. Rozumiemy.
[39:06.400 --> 39:08.400]  To jest proste.
[39:08.400 --> 39:10.400]  Nie proste. Trochę proste.
[39:10.400 --> 39:12.400]  To jest tylko dla tego typu ptaka, prawda?
[39:12.400 --> 39:14.400]  Ono kończy się z C.
[39:14.400 --> 39:16.400]  Tak.
[39:16.400 --> 39:18.400]  Będzie wiele innych takich słów.
[39:18.400 --> 39:20.400]  Bezokolicznik.
[39:20.400 --> 39:22.400]  Nie.
[39:22.400 --> 39:24.400]  Jest kilka wyjątków.
[39:24.400 --> 39:26.400]  Jak...
[39:26.400 --> 39:28.400]  Masz na tablicy.
[39:28.400 --> 39:30.400]  Móc iść, jeść.
[39:30.400 --> 39:32.400]  Więc tutaj są kilka wyjątków.
[39:32.400 --> 39:34.400]  Nieść.
[39:34.400 --> 39:36.400]  Ale zwyczajnie większość słów jest tak.
[39:36.400 --> 39:38.400]  Więc to jest...
[39:38.400 --> 39:40.400]  Więc patrzyliśmy na trzy kategorie słów.
[39:40.400 --> 39:42.400]  Tak.
[39:42.400 --> 39:46.400]  Patrzyliśmy na trzy kategorie słów, kiedy robiliśmy prezentację.
[39:46.400 --> 39:48.400]  Tak.
[39:48.400 --> 39:50.400]  A, C, H, I.
[39:50.400 --> 39:52.400]  I w tym momencie będziemy mówić po angielsku.
[39:52.400 --> 39:54.400]  Będziemy mówić po angielsku.
[39:54.400 --> 39:56.400]  Ok.
[39:56.400 --> 39:58.400]  Bo mówiliście, że są różne kategorie słów, które patrzymy na.
[39:58.400 --> 40:00.400]  Tak jak zmieniamy końcówkę.
[40:00.400 --> 40:02.400]  Jeśli było...
[40:02.400 --> 40:04.400]  To jest dla każdego z nich.
[40:04.400 --> 40:06.400]  Więc ta sytuacja będzie pomocna tutaj.
[40:06.400 --> 40:08.400]  I jestem zaskoczona, że nikt nie zapyta,
[40:08.400 --> 40:10.400]  dlaczego mamy a, e i a tutaj.
[40:10.400 --> 40:12.400]  Tak.
[40:12.400 --> 40:14.400]  Dobra.
[40:14.400 --> 40:16.400]  Tak, tak.
[40:16.400 --> 40:18.400]  Ok.
[40:18.400 --> 40:20.400]  Nie wiem.
[40:20.400 --> 40:22.400]  Studio Vau.
[40:22.400 --> 40:24.400]  Studio Vau węgielski.
[40:24.400 --> 40:26.400]  Studio Vau wejśc, ale on Studio Vau.
[40:26.400 --> 40:28.400]  To jest część tego słowa.
[40:28.400 --> 40:30.400]  Tak.
[40:30.400 --> 40:32.400]  Tak, ponieważ tutaj...
[40:32.400 --> 40:34.400]  Tutaj jest a,
[40:34.400 --> 40:36.400]  a tutaj jest a.
[40:36.400 --> 40:38.400]  Więc dlaczego to podpisasz?
[40:38.400 --> 40:40.400]  Tak?
[40:40.400 --> 40:42.400]  Dlaczego to podpisasz?
[40:42.400 --> 40:44.400]  Dlaczego jest biało?
[40:44.400 --> 40:46.400]  Hmm...
[40:46.400 --> 40:48.400]  Nie wiem.
[40:48.400 --> 40:50.400]  Dobre pytanie.
[40:50.400 --> 40:52.400]  Ok.
[40:52.400 --> 40:54.400]  Nie wiem dlaczego...
[40:54.400 --> 40:56.400]  Nie wiem dlaczego stworzyłam...
[40:56.400 --> 40:58.400]  Stworzyłam pytania...
[40:58.400 --> 41:00.400]  ...
[41:00.400 --> 41:02.400]  Nie ma...
[41:02.400 --> 41:04.400]  Przepraszam, moja błagalność.
[41:04.400 --> 41:06.400]  Proszę, nie nienawidzaj mnie.
[41:06.400 --> 41:08.400]  Ale wszystkie wyrazy będą łatwiejsze
[41:08.400 --> 41:10.400]  do tego zrobić?
[41:10.400 --> 41:12.400]  Tak.
[41:12.400 --> 41:14.400]  Nie wszystkie, ale...
[41:14.400 --> 41:16.400]  Nie wszystkie, ale mam specjalne
[41:16.400 --> 41:18.400]  plaskary dla dzieci w ciągu dłuższego.
[41:18.400 --> 41:20.400]  Z wielu...
[41:20.400 --> 41:22.400]  ...
[41:22.400 --> 41:24.400]  ...
[41:24.400 --> 41:26.400]  ...
[41:26.400 --> 41:28.400]  Ok.
[41:30.400 --> 41:32.400]  Więc na podstawie wersji
[41:32.400 --> 41:34.400]  tylko uczeć zmieni
[41:34.400 --> 41:36.400]  i się nie zmieni?
[41:36.400 --> 41:38.400]  Tak.
[41:38.400 --> 41:40.400]  Ok.
[41:40.400 --> 41:42.400]  Myślę, że na razie...
[41:42.400 --> 41:44.400]  ...
[41:44.400 --> 41:46.400]  ...
[41:46.400 --> 41:48.400]  ...
[41:48.400 --> 41:50.400]  ...
[41:50.400 --> 41:52.400]  ...
[41:52.400 --> 41:54.400]  ...
[41:54.400 --> 41:56.400]  ...
[41:56.400 --> 41:58.400]  ...
[41:58.400 --> 42:00.400]  ...
[42:00.400 --> 42:02.400]  ...
[42:02.400 --> 42:04.400]  ...
[42:04.400 --> 42:06.400]  ...
[42:06.400 --> 42:08.400]  ...
[42:08.400 --> 42:12.400] afers.
[42:12.400 --> 42:14.400] esterurgence.
[42:14.400 --> 42:16.560]  ...
[42:16.560 --> 42:18.400]  ...
[42:18.400 --> 42:20.400]  ...
[42:20.400 --> 42:22.400]  ...
[42:22.400 --> 42:24.400]  ...
[42:24.400 --> 42:26.480]  ...
[42:30.480 --> 42:32.400]  ...
[42:32.400 --> 42:36.400]  A rodzaj nie męskoosobowy?
[42:36.400 --> 42:40.400]  Universe minus, rozrębny jest.
[42:40.400 --> 42:46.400]  Czasem nie chcę jakichś udawać.
[42:46.400 --> 42:48.400]  Jest tak.
[42:48.400 --> 43:05.400]  Trzy. My. Wy. Oni. My. Wy. One.
[43:05.400 --> 43:10.400]  So we use ONI when we talk about human males.
[43:10.400 --> 43:15.400]  And we talk about ONE when we have equals.
[43:15.400 --> 43:24.400]  One kobiety, one dzieci, one zwierzęta, one rzeczy. Wszystko.
[43:24.400 --> 43:28.400]  Dobra. I teraz tak.
[43:45.400 --> 43:57.400]  Tutaj zamiast WY we have LI.
[43:57.400 --> 44:00.400]  Instead of WY we have LI.
[44:00.400 --> 44:06.400]  I?
[44:06.400 --> 44:13.400]  OK.
[44:13.400 --> 44:14.400]  I?
[44:14.400 --> 44:15.400]  I?
[44:15.400 --> 44:16.400]  To.
[44:16.400 --> 44:17.400]  I co?
[44:17.400 --> 44:19.400]  I котором嘁ka o someone?
[44:19.400 --> 44:21.440]  So basically,
[44:21.440 --> 44:22.400]  LI
[44:22.400 --> 44:24.400]  already told us gender.
[44:24.400 --> 44:26.400] çon.
[44:27.400 --> 44:33.400]  Go plan.
[44:33.400 --> 44:35.400]  Question.
[44:35.400 --> 44:40.400]  When would we use the first or second person inversiem?
[44:40.400 --> 44:41.400]  Tak eso?
[44:41.400 --> 44:42.400]  Przed nimi boa?
[44:42.400 --> 44:43.400]  To jestUAGO Mini.
[44:43.400 --> 44:44.400]  I wiem jakie możliwości mam.
