[00:00.000 --> 00:02.000]  Nie, co?
[23:37.180 --> 23:39.180]  Trzynaście.
[23:39.180 --> 23:40.180]  The whole word.
[23:40.180 --> 23:42.180]  Trzy and naście.
[23:42.180 --> 23:43.180]  Trzynaście.
[23:43.180 --> 23:46.180]  This word is thirty.
[23:46.180 --> 23:49.180]  Two.
[23:49.180 --> 23:51.180]  Trzy.
[23:51.180 --> 23:54.180]  Trzydzieści.
[23:54.180 --> 23:57.180]  Tak, we already have this ending dzieści.
[23:57.180 --> 24:01.180]  I together is trzydzieści.
[24:01.180 --> 24:03.180]  Trzy.
[24:03.180 --> 24:05.180]  Trzysta.
[24:05.180 --> 24:07.180]  Trzysta.
[24:07.180 --> 24:09.180]  Trzysta.
[24:09.180 --> 24:11.180]  Trzysta.
[24:11.180 --> 24:15.180]  Trzy. Trzy.
[24:15.180 --> 24:18.180]  I already we have the ending sta.
[24:18.180 --> 24:21.180]  The whole number is trzysta.
[24:21.180 --> 24:23.180]  Dobrze.
[24:23.180 --> 24:26.180]  To teraz cztery.
[24:26.180 --> 24:29.180]  I popatrzcie.
[24:29.180 --> 24:30.180]  Czterynaście.
[24:30.180 --> 24:31.180]  Właśnie.
[24:31.180 --> 24:35.180]  Not the whole word cztery, but czternaście.
[24:35.180 --> 24:36.180]  Czternaście.
[24:36.180 --> 24:39.180]  Naście.
[24:39.180 --> 24:41.180]  Tu jest with y.
[24:41.180 --> 24:42.180]  Cztery.
[24:42.180 --> 24:46.180]  Without this y.
[24:46.180 --> 24:47.180]  Czter.
[24:47.180 --> 24:49.180]  Czternaście.
[24:49.180 --> 24:50.180]  Czternaście.
[24:50.180 --> 24:56.180]  I czterdzieści.
[24:56.180 --> 25:00.180]  So if you repeat this ending dzieści.
[25:00.180 --> 25:02.180]  Also for this number.
[25:02.180 --> 25:03.180]  Dzieści.
[25:03.180 --> 25:04.180]  Trzydzieści.
[25:04.180 --> 25:05.180]  Trzydzieści.
[25:05.180 --> 25:06.180]  Czterdzieści.
[25:06.180 --> 25:07.180]  We have only two numbers.
[25:07.180 --> 25:08.180]  Trzydzieści.
[25:08.180 --> 25:10.180]  First with this ending dzieści.
[25:10.180 --> 25:11.180]  Trzydzieści.
[25:11.180 --> 25:12.180]  Czterdzieści.
[25:12.180 --> 25:13.180]  Koniec.
[25:13.180 --> 25:14.180]  Tak.
[25:14.180 --> 25:18.180]  I będziemy mieć jeszcze cztery.
[25:18.180 --> 25:21.180]  Czterysta.
[25:21.180 --> 25:23.180]  Czterysta.
[25:23.180 --> 25:24.180]  Czterysta.
[25:24.180 --> 25:27.180]  Czyli dopisujemy sobie tu sta.
[25:27.180 --> 25:28.180]  Czterysta.
[25:28.180 --> 25:30.180]  You already have cztery.
[25:30.180 --> 25:32.180]  The whole word cztery.
[25:32.180 --> 25:34.180]  With y.
[25:34.180 --> 25:35.180]  I sta.
[25:35.180 --> 25:36.180]  Czterysta.
[25:36.180 --> 25:37.180]  No to świetnie.
[25:37.180 --> 25:38.180]  To świetnie.
[25:38.180 --> 25:43.180]  To teraz jest pięć.
[25:43.180 --> 25:44.180]  I popatrzcie.
[25:44.180 --> 25:46.180]  Pięć.
[25:46.180 --> 25:48.180]  This c.
[25:48.180 --> 25:50.180]  Change to te.
[25:50.180 --> 25:53.180]  So we have pięt.
[25:53.180 --> 25:56.180]  Pięt instead of c.
[25:56.180 --> 25:59.180]  Piętnaście.
[25:59.180 --> 26:03.180]  Piętnaście.
[26:03.180 --> 26:05.180]  Piętnaście.
[26:05.180 --> 26:06.180]  Tu.
[26:06.180 --> 26:08.180]  The whole word pięć.
[26:08.180 --> 26:09.180]  Pięć.
[26:09.180 --> 26:12.180]  Plus the ending dziesiąt.
[26:12.180 --> 26:16.180]  Czyli pięć dziesiąt.
[26:16.180 --> 26:21.180]  Pięć dziesiąt.
[26:21.180 --> 26:31.180]  I again.
[26:31.180 --> 26:34.180]  The whole word pięć plus set.
[26:34.180 --> 26:35.180]  Pięć set.
[26:35.180 --> 26:36.180]  Pienć set.
[26:36.180 --> 26:37.180]  Pięć set.
[26:37.180 --> 26:38.180]  Pięć set.
[26:40.180 --> 26:41.180]  Set.
[26:41.180 --> 26:42.180]  To jest.
[26:42.180 --> 26:43.180]  Sześć.
[26:43.180 --> 26:44.180]  To jest sześć.
[26:44.180 --> 26:45.180]  Popatrzcie.
[26:45.180 --> 26:46.180]  Tu.
[26:46.180 --> 26:47.180]  I tu.
[26:47.180 --> 26:48.180]  Sześć.
[26:48.180 --> 26:49.180]  Sześć.
[26:49.180 --> 26:50.180]  I again.
[26:50.180 --> 26:51.180]  To.
[26:51.180 --> 26:52.180]  To jest ulives.
[26:52.180 --> 26:53.180]  I again.
[26:53.180 --> 26:54.180]  To.
[26:54.180 --> 26:55.180]  Jest dziesiąt.
[26:55.180 --> 26:56.180]  K 잡아ła.
[26:56.180 --> 26:57.180]  I o przyczyni.
[26:57.180 --> 26:58.180]  Po sztergach.
[26:58.180 --> 26:59.180]  Jakby zwa reusableMay marketing.
[26:59.180 --> 27:00.180]  Dlatego że to jest o to.
[27:00.180 --> 27:01.180]  Święlestwo.
[27:01.180 --> 27:02.180] 放full.,
[27:02.180 --> 27:03.180]  co.
[27:03.180 --> 27:04.180]  A total.
[27:04.180 --> 27:10.180]  These two letters change to S.
[27:10.180 --> 27:12.180]  Przepraszam bardzo.
[27:12.180 --> 27:14.180]  Do S.
[27:14.180 --> 27:16.180]  Czyli szesnaście.
[27:16.180 --> 27:18.180]  Przepraszam.
[27:18.180 --> 27:20.180]  Szesnaście.
[27:20.180 --> 27:22.180]  Szesnaście.
[27:22.180 --> 27:24.180]  Szesnaście.
[27:24.180 --> 27:26.180]  I?
[27:26.180 --> 27:28.180]  The whole word
[27:28.180 --> 27:30.180]  sześć. Dziesiąt.
[27:30.180 --> 27:32.180]  Dziesiąt, tak. Sześć, dziesiąt.
[27:32.180 --> 27:34.180]  Sześćdziesiąt.
[27:34.180 --> 27:36.180]  Sześćdziesiąt.
[27:36.180 --> 27:38.180]  And the whole word?
[27:38.180 --> 27:40.180]  Sześćset.
[27:40.180 --> 27:42.180]  Sześć.
[27:42.180 --> 27:44.180]  I sześćset.
[27:44.180 --> 27:46.180]  Sześćset.
[27:46.180 --> 27:48.180]  Sześćset.
[27:48.180 --> 27:50.180]  Sześćset.
[27:50.180 --> 27:52.180]  Sześćset.
[27:52.180 --> 27:54.180]  Sześćset.
[27:54.180 --> 27:56.180]  No to teraz jest easy
[27:56.180 --> 27:58.180]  for siedem
[27:58.180 --> 28:00.180]  and osiem.
[28:00.180 --> 28:02.180]  We will repeat the whole word siedem.
[28:02.180 --> 28:04.180]  Czyli mamy tak.
[28:04.180 --> 28:06.180]  Siedem.
[28:08.180 --> 28:10.180]  Siedemnaście.
[28:12.180 --> 28:14.180]  Siedemnaście.
[28:20.180 --> 28:22.180]  Siedemdziesiąt.
[28:24.180 --> 28:26.180]  Siedem.
[28:26.180 --> 28:28.180]  Dziesiąt.
[28:30.180 --> 28:32.180]  Again.
[28:32.180 --> 28:34.180]  Dziesiąt.
[28:34.180 --> 28:36.180]  Dziesiąt.
[28:36.180 --> 28:38.180]  I jeszcze jest siedemset.
[28:38.180 --> 28:40.180]  Dziesiąt.
[28:40.180 --> 28:42.180]  Dziesiąt.
[28:42.180 --> 28:44.180]  Siedemset.
[28:44.180 --> 28:46.180]  Siedemset.
[28:46.180 --> 28:48.180]  Siedemset.
[28:48.180 --> 28:50.180]  I w ten sam sposób osiem.
[28:50.180 --> 28:52.180]  I w ten sam sposób osiem.
[28:52.180 --> 28:54.180]  I w ten sam sposób osiem.
[28:54.180 --> 28:56.180]  Osiem.
[28:56.180 --> 28:58.180]  Co tutaj?
[28:58.180 --> 29:00.180]  Osiem.
[29:00.180 --> 29:02.180]  Osiem.
[29:02.180 --> 29:04.880]  Osiemnaście, super. Osiemnaście.
[29:06.260 --> 29:07.700]  Osiemnaście.
[29:08.400 --> 29:08.860]  Tutaj?
[29:09.820 --> 29:10.740]  Osiemdziesiąt.
[29:10.780 --> 29:12.260]  Osiemdziesiąt.
[29:16.260 --> 29:17.960]  I tutaj?
[29:18.780 --> 29:19.400]  Osiemdziesiąt.
[29:19.580 --> 29:20.180]  Świetnie.
[29:24.140 --> 29:25.140]  Brawo.
[29:25.140 --> 29:26.620]  I ostatni.
[29:27.600 --> 29:28.560]  Dziewięć.
[29:29.000 --> 29:29.960]  Dziewięć.
[29:30.260 --> 29:31.480]  Dziewięć.
[29:32.180 --> 29:33.500]  Piszemy to tak.
[29:34.700 --> 29:35.780]  Dziewięć.
[29:36.580 --> 29:37.620]  Dziewięć.
[29:38.360 --> 29:40.500]  I nazwamy.
[29:40.820 --> 29:42.780]  I tak jak było pięć,
[29:43.260 --> 29:44.680]  teraz jest dziewięć.
[29:45.220 --> 29:46.100]  Dziewiętnaście.
[29:46.160 --> 29:49.400]  To ci, część tu te.
[29:50.080 --> 29:52.080]  Dlatego dziewiętnaście.
[29:57.840 --> 29:58.880]  Dziewiętnaście.
[30:02.180 --> 30:03.180]  Dziewięćset.
[30:03.180 --> 30:03.960]  Bad.
[30:04.960 --> 30:08.460]  Dziewięćdziesiąt.
[30:16.460 --> 30:19.180]  I?
[30:21.180 --> 30:23.220]  Dziewięćset.
[30:23.220 --> 30:23.360]  Dziewięćset.
[30:23.780 --> 30:29.220]  Dziewięćset.
[30:32.180 --> 30:33.180]  Świetnie.
[30:33.180 --> 30:34.180]  Świetnie.
[30:44.660 --> 30:49.180]  No to słuchajcie, zrobimy ćwiczenie dziesięć.
[30:49.780 --> 30:50.500]  Mamy tam.
[30:53.180 --> 30:54.980]  Jedennaście.
[30:57.380 --> 30:58.080]  Co dalej?
[30:59.180 --> 30:59.980]  Czternaście.
[31:00.080 --> 31:01.980]  Czternaście, tak.
[31:02.180 --> 31:03.180]  No to jest dwa.
[31:08.180 --> 31:08.680]  Dalej?
[31:08.680 --> 31:09.600]  Osiemnaście.
[31:09.600 --> 31:10.160]  Osiemnaście.
[31:10.160 --> 31:10.660]  Super.
[31:10.660 --> 31:11.660]  Osiemnaście.
[31:11.660 --> 31:12.660]  Osiemnaście.
[31:17.860 --> 31:18.860]  Co dalej?
[31:18.860 --> 31:19.860]  Dziewiętnaście.
[31:19.860 --> 31:20.860]  Dziewiętnaście.
[31:20.860 --> 31:21.360]  Dziewięćset.
[31:21.360 --> 31:22.360]  Dobrze.
[31:30.000 --> 31:31.000]  Co dalej?
[31:31.000 --> 31:31.940]  Dwadzieścia dziewięć.
[31:32.180 --> 31:33.180]  Tak jest.
[31:44.680 --> 31:47.180]  Dwadzieścia dziewięć. Co dalej?
[31:48.180 --> 31:49.180]  Trzydzieści dwa.
[31:49.180 --> 31:50.180]  Super.
[31:56.180 --> 31:58.180]  Trzydzieści dwa i?
[31:59.180 --> 32:00.180]  Czterdzieści osiem.
[32:00.180 --> 32:02.180]  Czterdzieści osiem.
[32:08.180 --> 32:10.180]  Osiem. Super. I?
[32:12.180 --> 32:13.180]  Pięćdziesiąt siedem.
[32:14.180 --> 32:21.180]  Tak. Pięćdziesiąt trzy.
[32:27.180 --> 32:28.180]  Pięćdziesiąt dziewięć.
[32:28.180 --> 32:29.180]  Dobrze. Pięćdziesiąt trzy.
[32:30.180 --> 32:31.180]  Pięćdziesiąt dziewięć.
[32:36.180 --> 32:37.180]  Dziewięć.
[32:41.180 --> 32:42.180]  I?
[32:42.180 --> 32:43.180]  Osiemdziesiąt osiem.
[32:43.180 --> 32:44.180]  Super. Osiemdziesiąt.
[32:50.180 --> 32:52.180]  Osiemdziesiąt osiem.
[33:00.180 --> 33:05.180]  Ok.
[33:06.180 --> 33:07.180]  Napiszcie sobie to spokojnie.
[33:07.180 --> 33:13.180]  A kto ma już, kto jest gotowy, to robimy następne ćwiczenie. Dobrze?
[33:14.180 --> 33:18.180]  A reszta sobie pisze na spokojnie samicy.
[33:30.180 --> 33:32.180]  Cześć.
[34:00.180 --> 34:02.180]  Cześć.
[34:30.180 --> 34:32.180]  Cześć.
[35:00.180 --> 35:02.180]  Cześć.
[35:30.180 --> 35:32.180]  Cześć.
[36:00.180 --> 36:02.180]  Cześć.
[36:02.780 --> 36:03.780]  Cztery.
[36:03.780 --> 36:05.780]  Cztery.
[36:05.780 --> 36:07.780]  Cztery.
[36:09.780 --> 36:11.780]  Cztery...
[36:15.780 --> 36:17.780]  Cztery...
[36:17.780 --> 36:19.780]  Cztery...
[36:19.780 --> 36:21.780]  Cztery...
[36:21.780 --> 36:23.280]  Cztery..
[36:23.280 --> 36:25.280]  Cztery...
[36:28.480 --> 36:29.980]  Cztery...
[37:30.180 --> 38:00.160]  Dzień dobry.
[38:00.180 --> 38:30.160]  Dzień dobry.
[38:30.180 --> 39:00.160]  Dzień dobry.
[39:00.180 --> 39:30.160]  Dzień dobry.
[39:30.180 --> 39:43.020]  109, 10, 9.
[39:45.140 --> 39:48.040]  Następnie?
[39:49.040 --> 39:49.700]  200.
[39:49.700 --> 39:50.860]  200.
[39:52.860 --> 39:54.900]  Następnie?
[39:56.640 --> 39:57.520]  180.
[39:58.360 --> 39:58.940]  Dobrze.
[39:59.220 --> 39:59.920]  180.
[40:00.180 --> 40:00.540]  170.
[40:06.420 --> 40:07.660]  3.
[40:09.560 --> 40:11.260]  170 było.
[40:11.720 --> 40:12.240]  Dobrze.
[40:12.520 --> 40:12.840]  2.
[40:13.180 --> 40:14.860]  170.
[40:24.220 --> 40:25.540]  170.
[40:26.640 --> 40:28.060]  A następnie?
[40:28.060 --> 40:30.060]  170.
[40:30.180 --> 40:35.520]  Za tego, że to Arabs, Taweł z BTS, że to jest количествоーん shaping piecki.
[40:35.520 --> 40:35.620]  Tak.
[40:35.620 --> 40:37.560]  Czyli to jest również 50.
[40:37.560 --> 40:38.040]  I 1000 i też, 100, nie.
[40:38.040 --> 40:38.760]  Jest bardzo rовnie.
[40:38.760 --> 40:40.260]  Sakura została wy zitierana również說 ten sygnału.
[40:40.260 --> 40:41.180]  Osz grotał w Radku, ale mieszkał przeze mnie.
[40:41.180 --> 40:41.400]  Europa.
[40:41.400 --> 40:41.660]  To że z�y.
[40:41.660 --> 40:43.100]  Po prostu Extra.
[40:43.100 --> 40:43.560]  St vag mixture.
[40:43.560 --> 40:43.920]  Naprawdę fantastycznie.
[40:43.920 --> 40:44.660]  Mmmkk.
[40:44.660 --> 40:45.920]  Na boisku.
[40:45.920 --> 40:48.920]  Hi, miło.
[40:48.920 --> 40:55.040]  Więc świetnie usłyszałeś te cliché żyt19.
[40:55.040 --> 40:55.140] eremiowe epicjami.
[40:55.140 --> 40:55.880] 常��ź.
[40:55.880 --> 40:56.360]  No i W tym wy afflictorzy dam tutaj.
[40:56.360 --> 40:57.940]  Jak sposób aromaticznyие?
[40:57.940 --> 40:58.160]  Tenwhaty.
[40:58.160 --> 40:59.160]  Kolejne to ta prace.
[40:59.220 --> 40:59.260]  Przyczynę toรa.
[41:00.180 --> 41:07.180]  160 i 150.
[41:07.180 --> 41:10.180]  10.
[41:10.180 --> 41:16.180]  6.
[41:16.180 --> 41:21.180]  I 100.
[41:21.180 --> 41:29.180]  31.
[41:29.180 --> 41:33.180]  1.
[41:33.180 --> 41:36.180]  Oraz 100.
[41:36.180 --> 41:44.180]  123.
[41:44.180 --> 41:48.180]  I ostatni.
[41:48.180 --> 41:52.180]  114.
[41:52.180 --> 41:53.180]  Tak?
[41:53.180 --> 41:57.180]  114.
[41:57.180 --> 41:58.180]  14.
[41:58.180 --> 41:59.180]  Tak?
[41:59.180 --> 42:02.180]  114.
[42:02.180 --> 42:03.180]  O, przepraszam.
[42:03.180 --> 42:04.180]  114.
[42:04.180 --> 42:19.180]  I słuchajcie, teraz, jeszcze raz, once again, ćwiczenie 10.
[42:19.180 --> 42:27.180]  Ćwiczenie 10, we have to give the next number to this number.
[42:27.180 --> 42:28.180]  So, you start.
[42:28.180 --> 42:31.180]  You start with 10.
[42:31.180 --> 42:36.180]  So, you read the number 10.
[42:36.180 --> 42:39.180]  And the next number is 11.
[42:39.180 --> 42:41.180]  So, you tell 11.
[42:41.180 --> 42:42.180]  Dobrze?
[42:42.180 --> 42:44.180]  I potem pan.
[42:44.180 --> 42:45.180]  Dobrze?
[42:45.180 --> 42:51.180]  Pan mówi 11, a the next number is 12.
[42:51.180 --> 42:52.180]  12.
[42:52.180 --> 42:53.180]  Mhm, tak.
[42:53.180 --> 42:55.180]  Więc następną liczbę dajemy.
[42:55.180 --> 42:56.180]  No to start.
[42:56.180 --> 42:57.180]  10.
[42:57.180 --> 42:58.180]  10.
[42:58.180 --> 42:59.180]  11.
[42:59.180 --> 43:00.180]  12.
[43:00.180 --> 43:01.180]  Mhm.
[43:01.180 --> 43:05.180]  The next number to this number.
[43:05.180 --> 43:06.180]  15.
[43:06.180 --> 43:07.180]  Dobrze.
[43:07.180 --> 43:09.180]  The next number to this number.
[43:09.180 --> 43:12.180]  19.
[43:12.180 --> 43:13.180]  19.
[43:13.180 --> 43:15.180]  The next number to 19.
[43:15.180 --> 43:17.180]  24.
[43:17.180 --> 43:19.180]  24, 9.
[43:19.180 --> 43:20.180]  Dobrze.
[43:20.180 --> 43:21.180]  32.
[43:21.180 --> 43:22.180]  Mhm.
[43:22.180 --> 43:24.180]  Wyczuluję.
[43:24.180 --> 43:25.180]  Momencik, momencik, jeszcze raz, dobrze?
[43:25.180 --> 43:26.180]  Mhm.
[43:26.180 --> 43:28.180]  Czyli tak.
[43:28.180 --> 43:31.180]  The next number to this number.
[43:31.180 --> 43:32.180]  19.
[43:32.180 --> 43:33.180]  To jest.
[43:33.180 --> 43:34.180]  Oh, so you just.
[43:34.180 --> 43:35.180]  Oh, I don't want that.
[43:35.180 --> 43:36.180]  The next number.
[43:36.180 --> 43:37.180]  No, the next number to.
[43:37.180 --> 43:42.180]  But after 19 we have 20.
[43:42.180 --> 43:43.180]  Plus.
[43:43.180 --> 43:44.180]  Rozumiecie?
[43:44.180 --> 43:45.180]  Rozumiecie?
[43:45.180 --> 43:46.180]  Tak.
[43:46.180 --> 43:47.180]  Tak.
[43:47.180 --> 43:48.180]  Dobrze.
[43:48.180 --> 43:49.180]  No, 20.
[43:49.180 --> 43:50.180]  20.
[43:50.180 --> 43:51.180]  30.
[43:51.180 --> 43:54.180]  Dobrze.
[43:54.180 --> 43:55.180]  Czy.
[43:55.180 --> 43:56.180]  Czy.
[43:56.180 --> 43:57.180]  Czydzieście.
[43:57.180 --> 43:58.180]  Trzy.
[43:58.180 --> 43:59.180]  Mhm.
[43:59.180 --> 44:00.180]  Tak.
[44:00.180 --> 44:01.180]  Trzydzieści trzy.
[44:01.180 --> 44:02.180]  Trzydzieści trzy.
[44:02.180 --> 44:03.180]  Tak.
[44:03.180 --> 44:04.180]  Trzydzieści trzy.
[44:04.180 --> 44:05.180]  To jest tu.
[44:05.180 --> 44:06.180]  Tu.
[44:06.180 --> 44:07.180]  Może Pan pokazać właśnie.
[44:07.180 --> 44:08.180]  Super.
[44:08.180 --> 44:09.180]  I.
[44:09.180 --> 44:10.180]  Forty nine.
[44:10.180 --> 44:11.180]  OK.
[44:11.180 --> 44:12.180]  Forty eight.
[44:12.180 --> 44:13.180]  Forty nine.
[44:13.180 --> 44:14.180]  The next number.
[44:14.180 --> 44:15.180]  The next number.
[44:15.180 --> 44:16.180]  Fast one.
[44:16.180 --> 44:17.180]  Fast one.
[44:17.180 --> 44:18.180]  Fast one.
[44:18.180 --> 44:19.180]  Forty eight.
[44:19.180 --> 44:20.180]  Mhm.
[44:20.180 --> 44:21.180]  I have to.
[44:21.180 --> 44:22.180]  I have to.
[44:22.180 --> 44:23.180]  I have to.
[44:23.180 --> 44:24.180]  I have to.
[44:24.180 --> 44:30.180]  I the next one is forty nine.
[44:30.180 --> 44:33.180]  Forty to jest czterdzieści.
[44:33.180 --> 44:34.180]  Trzydzieści.
[44:34.180 --> 44:35.180]  Trzydzieści.
[44:35.180 --> 44:36.180]  Mhm.
[44:36.180 --> 44:37.180]  Dziewięć.
[44:37.180 --> 44:38.180]  Dziewięć.
[44:38.180 --> 44:39.180]  Czterdzieści.
[44:39.180 --> 44:40.180]  Czterdzieści osiem.
[44:40.180 --> 44:41.180]  Czterdzieści osiem.
[44:41.180 --> 44:42.180]  Czterdzieści osiem.
[44:42.180 --> 44:43.180]  Czterdzieści osiem.
[44:43.180 --> 44:48.180]  But we give the next number after forty eight, czyli forty nine.
[44:48.180 --> 44:51.180]  So please repeat after me.
[44:51.180 --> 44:52.180]  Czterdzieści dziewięć.
[44:52.180 --> 44:53.180]  Czterdzieści dziewięć.
[44:53.180 --> 44:54.180]  Sześćdziesiąt dziewięć.
[44:54.180 --> 44:55.180]  Sześćdziesiąt dziewięć.
[44:55.180 --> 44:56.180]  Tam jest.
[44:56.180 --> 44:57.180]  I bardzo proszę dalej.
[44:57.180 --> 44:58.180]  Pięćdziesiąt cztery.
[44:58.180 --> 44:59.180]  Super.
[44:59.180 --> 45:00.180]  Pięćdziesiąt.
[45:00.180 --> 45:01.180]  The next.
[45:01.180 --> 45:02.180]  The next.
[45:02.180 --> 45:03.180]  Here we have pięćdziesiąt dziewięć.
[45:03.180 --> 45:04.180]  So the next is sixty.
[45:04.180 --> 45:05.180]  Okay.
[45:05.180 --> 45:06.180]  Sześćdziesiąt.
[45:06.180 --> 45:07.180]  Sześćdziesiąt.
[45:07.180 --> 45:08.180]  Tam jest.
[45:08.180 --> 45:09.180]  Sześćdziesiąt.
[45:09.180 --> 45:10.180]  I?
[45:10.180 --> 45:11.180]  Sześćdziesiąt dziewięć.
[45:11.180 --> 45:12.180]  Super.
[45:12.180 --> 45:13.180]  I teraz pomyślmy.
[45:13.180 --> 45:14.180]  Tak.
[45:14.180 --> 45:15.180]  Tak.
[45:15.180 --> 45:16.180]  Tak.
[45:16.180 --> 45:17.180]  Tak.
[45:17.180 --> 45:18.180]  Tak.
[45:18.180 --> 45:19.180]  Tak.
[45:19.180 --> 45:20.180]  Tak.
[45:20.180 --> 45:21.180]  Tak.
[45:21.180 --> 45:22.180]  Tak.
[45:22.180 --> 45:23.180]  I teraz popatrzcie.
[45:23.180 --> 45:24.440]  Tu jest informacja.
[45:24.440 --> 45:27.400]  We have to give poprzednią liczbę.
[45:27.400 --> 45:34.420]  Czyli jak mam, jak mam pięć to następna to jest sześć.
[45:34.420 --> 45:40.180]  A poprzednia to jest cztery.
[45:40.180 --> 45:49.160]  A proszę pisać, proszę pisać po, po.
[45:49.160 --> 45:50.740]  To jest tu.
[45:50.740 --> 45:51.740]  O poprzednia.
[45:51.740 --> 45:52.180]  Tam, tam.
[45:52.180 --> 46:10.180]  Tak, tak, tak. Czyli to jest poprzednia, to jest następna, a to jest ta aktualna.
[46:10.180 --> 46:28.180]  To jest aktualna. Czyli my mamy tutaj, popatrzcie, 199 to jest aktualna, a ta poprzednia to jest 198. Rozumiemy?
[46:28.180 --> 46:32.180]  Tak. No to świetnie. To zaczynamy od Pani.
[46:32.180 --> 46:39.180]  198. Dobrze, 198 to jest tu dlatego.
[46:39.180 --> 46:43.180]  199. Świetnie.
[46:43.180 --> 46:52.180]  183. Dobrze.
[46:52.180 --> 47:03.180]  I teraz jesteśmy tu, czyli Pan ma nam podać to.
[47:03.180 --> 47:08.180]  100. Idy.
[47:08.180 --> 47:09.180]  70.
[47:09.180 --> 47:10.180]  70.
[47:10.180 --> 47:11.180]  I 1.
[47:11.180 --> 47:12.180]  71.
[47:12.180 --> 47:15.180]  Tak, 171.
[47:15.180 --> 47:20.180]  Proszę powtórzyć. 171.
[47:20.180 --> 47:22.180]  I'm going. Chyba nie.
[47:22.180 --> 47:24.180]  Dobrze, to poproszę dalej.
[47:24.180 --> 47:27.180]  169.
[47:27.180 --> 47:33.180]  Dobrze, tak, 169 tu.
[47:33.180 --> 47:35.180]  I 100.
[47:35.180 --> 47:38.180]  159.
[47:38.180 --> 47:45.180]  159. To do 100, tak?
[47:45.180 --> 47:47.180]  Tak, to następne.
[47:47.180 --> 47:52.180]  A, to następne. To będzie, może Pani...
[47:52.180 --> 48:00.180]  100...
[48:00.180 --> 48:03.180]  Może do tego jeszcze.
[48:03.180 --> 48:06.180]  156.
[48:06.180 --> 48:08.180]  To będzie 150.
[48:08.180 --> 48:09.180]  156.
[48:09.180 --> 48:10.180]  Jasne.
[48:10.180 --> 48:11.180]  131.
[48:11.180 --> 48:12.180]  To poprzednia.
[48:12.180 --> 48:13.180]  130.
[48:13.180 --> 48:16.180]  130, 123, to poprzednia.
[48:16.180 --> 48:21.180]  122.
[48:21.180 --> 48:24.180]  22. Nie 10, 20, tylko...
[48:24.180 --> 48:25.180]  20.
[48:25.180 --> 48:26.180]  O, właśnie.
[48:26.180 --> 48:28.180]  122, super.
[48:28.180 --> 48:31.180]  I 114.
[48:31.180 --> 48:34.180]  Czyli mamy teraz 114.
[48:34.180 --> 48:40.180]  114. To poprzednia to jest 113.
[48:40.180 --> 48:43.180]  Dobrze?
[48:43.180 --> 48:46.180]  Uwaga, uwaga, uwaga, uwaga, Pan.
[48:46.180 --> 48:49.180]  113.
[48:49.180 --> 48:51.180]  113.
[48:51.180 --> 48:54.180]  Proszę powtórzyć. Please repeat only after me.
[48:54.180 --> 48:55.180]  100.
[48:55.180 --> 48:56.180]  100.
[48:56.180 --> 48:57.180]  113.
[48:57.180 --> 48:58.180]  113.
[48:58.180 --> 48:59.180]  113.
[48:59.180 --> 49:02.180]  113, tak jest. No to świetnie. Słuchajcie.
[49:02.180 --> 49:03.180]  Słuchajcie.
[49:03.180 --> 49:07.180]  To wszystko to była powtórka.
[49:07.180 --> 49:08.180]  Repetition.
[49:08.180 --> 49:18.180]  Nasze następne zadanie to będzie sytuacja, chcemy powiedzieć, która jest godzina.
[49:18.180 --> 49:20.180]  Która jest godzina.
[49:20.180 --> 49:25.180]  Która to lekcja Wasza.
[49:25.180 --> 49:28.180]  Który to dzień.
[49:28.180 --> 49:30.180]  Który dzisiaj jest dzień.
[49:30.180 --> 49:32.180]  Dzisiaj jest 14.
[49:32.180 --> 49:35.180]  Dzisiaj jest 14 lipca.
[49:35.180 --> 49:38.180]  Mamy ordinal numbers now.
[49:38.180 --> 49:41.180]  Czyli to były te cardinal numbers.
[49:41.180 --> 49:44.180]  Jeden, dwa, trzy, cztery.
[49:44.180 --> 49:49.180]  A teraz potrzebujemy the first, the second, the third.
[49:49.180 --> 49:52.180]  I to będzie the next step.
[49:52.180 --> 49:57.180]  The next step is possible if we know this cardinal numbers.
[49:57.180 --> 49:59.180]  I popatrzcie.
[49:59.180 --> 50:01.180]  Jesteśmy teraz w stronach.
[50:01.180 --> 50:03.180]  Strona następna.
[50:03.180 --> 50:04.180]  Dobrze.
[50:04.180 --> 50:06.180]  Strona następna.
[50:06.180 --> 50:12.180]  I będzie pytanie ile.
[50:12.180 --> 50:14.180]  Ile.
[50:14.180 --> 50:19.180]  No to mamy 20, 40, 60, 80, 100.
[50:19.180 --> 50:20.180]  Ile.
[50:20.180 --> 50:23.180]  A jeżeli zapytam który.
[50:23.180 --> 50:24.180]  Which one.
[50:24.180 --> 50:25.180]  Który.
[50:25.180 --> 50:28.180]  To będzie wtedy pierwszy.
[50:28.180 --> 50:30.180]  Pierwsza.
[50:30.180 --> 50:31.180]  Pierwsze.
[50:31.180 --> 50:33.180]  Pierwszy for masculina.
[50:33.180 --> 50:37.180]  To mój pierwszy kurs języka polskiego.
[50:37.180 --> 50:41.180]  Czy to jest Pani pierwszy kurs języka polskiego?
[50:41.180 --> 50:42.180]  Tak.
[50:42.180 --> 50:43.180]  Tak.
[50:43.180 --> 50:45.180]  To jest mój pierwszy kurs języka polskiego.
[50:45.180 --> 50:50.180]  Jeżeli zapytam która jest godzina.
