[00:00.000 --> 00:02.000]  Inna opcja?
[19:32.540 --> 19:34.540]  Na przykład w poniedziałek jadę do Warszawy.
[19:34.540 --> 19:36.540]  We wtorek uczę się do egzaminu.
[19:36.540 --> 19:37.540]  Do egzaminu?
[19:37.540 --> 19:38.540]  Z czego?
[19:38.540 --> 19:39.540]  Jak to?
[19:39.540 --> 19:40.540]  Nie wiesz?
[19:40.540 --> 19:42.540]  A tak, ty nie wiesz, że chodzę na kurs francuskiego.
[19:42.540 --> 19:43.540]  W środę mam ostatnią lekcję.
[19:43.540 --> 19:45.540]  A kiedy masz egzamin?
[19:45.540 --> 19:46.540]  W czwartek.
[19:46.540 --> 19:47.540]  Dla ciebie to nie problem.
[19:47.540 --> 19:49.200]  Mówisz świetnie po francusku
[19:49.200 --> 19:52.700]  Tak, mówić mogę, ale wiesz, że mam problemy z gramatyką
[19:52.700 --> 19:54.560]  A ty, co robisz w tym tygodniu?
[19:54.800 --> 19:57.320]  W poniedziałek spotykam się z kolegą ze studiów
[19:57.320 --> 19:59.940]  Na wtorek nie mam konkretnego planu
[19:59.940 --> 20:01.360]  W środę pracuję po południu
[20:01.360 --> 20:03.320]  W czwartek wieczorem mi wystąpia nam basen
[20:03.320 --> 20:04.720]  A właśnie, mroko Tomka
[20:04.720 --> 20:06.400]  Idziemy w piątek z nas w skrytekę
[20:06.400 --> 20:08.440]  Idziemy z nami, idą też Wojtek i brata
[20:08.440 --> 20:09.940]  W piątek to niemożliwe
[20:09.940 --> 20:10.780]  Dlaczego nie?
[20:10.980 --> 20:12.940]  Bo w sobotę rano jadę do Poznania
[20:12.940 --> 20:15.900]  A poza tym w piątek wieczorem spotykam się z babcią
[20:15.900 --> 20:18.120]  No nie, w piątek wieczorem z babcią
[20:18.120 --> 20:19.700]  W sobotę rano pracujesz
[20:19.700 --> 20:21.400]  No nie, to twoja praca
[20:21.400 --> 20:23.480]  Zawsze gdzieś jeździsz i jeździsz
[20:23.480 --> 20:25.100]  Do Warszawy, do Poznania
[20:25.100 --> 20:26.260]  Nie wiem dokąd jeszcze
[20:26.260 --> 20:27.680]  Nie rozumiem
[20:27.680 --> 20:30.220]  No wiesz, dlaczego jesteś taki niemiły?
[20:30.560 --> 20:32.260]  Moja babcia ma w piątek urodziny
[20:32.260 --> 20:34.320]  A ta praca jest dla mnie ważna
[20:34.320 --> 20:35.800]  No dobrze, przepraszam
[20:35.800 --> 20:38.680]  Ale wiesz, że bardzo lubię chodzić z tobą na dyskotekę
[20:38.680 --> 20:39.620]  Bo świetnie tańczysz
[20:39.620 --> 20:41.520]  A masz już plany na niedzielę
[20:41.520 --> 20:42.040]  Masz czas?
[20:42.600 --> 20:43.760]  Nie mam jeszcze planów
[20:43.760 --> 20:45.580]  Jadę ze znajomymi do Zakopanego
[20:45.580 --> 20:46.540]  Jedziesz z nami?
[20:46.720 --> 20:49.500]  A czy nie jedziecie? Pociągiem czy autobusem?
[20:49.760 --> 20:51.180]  Pociągiem to bez sensu
[20:51.180 --> 20:53.620]  Jedziemy albo autobusem, albo samochodem
[20:53.620 --> 20:55.980]  Jeszcze nie wiemy, ale jedziemy bardzo wcześnie rano
[20:55.980 --> 20:56.640]  Przed siódmą
[20:56.640 --> 20:58.500]  To co? Jedziesz z nami?
[21:10.500 --> 21:13.020]  No dobra, spróbujmy
[21:13.020 --> 21:15.560]  Wojtek też jedzie
[21:15.560 --> 21:18.560]  Idziemy na basen, prawda czy nieprawda?
[21:19.240 --> 21:21.240]  Prawda?
[21:22.880 --> 21:24.880]  Nieprawda
[21:24.880 --> 21:26.880]  Nieprawda, z kim Andrzej idzie na basen?
[21:26.880 --> 21:30.280]  Wojtek jest bratem dla...
[21:30.280 --> 21:32.280]  Nie wiemy czy to jest brat
[21:32.280 --> 21:34.280]  To... z Tomkiem
[21:34.280 --> 21:36.800]  Z Tomkiem, on idzie na basen z Tomkiem
[21:36.800 --> 21:38.800]  Nie wiemy kim Wojtek jest
[21:38.800 --> 21:40.800]  Czy jest przyjaciółem?
[21:40.800 --> 21:42.800]  Albo...
[21:42.800 --> 21:43.800]  A, dobrze
[21:43.800 --> 21:44.900]  Nie wiemy kto jest?
[21:44.900 --> 21:48.900]  Ale nie wiemy, kto jest brat
[21:48.900 --> 21:50.900]  To... ok, nie ma problemu
[21:50.900 --> 21:53.900]  Czyli Wojtek też idzie na basen, nieprawda
[21:53.900 --> 21:55.900]  Bo Andrzej idzie z Tomkiem
[21:55.900 --> 22:00.900]  Na dyskotekę idą też Wojtek i Beata
[22:00.900 --> 22:02.900]  A co Beata? Ok, ok
[22:02.900 --> 22:05.900]  A, Beata to jest imię dla dziewczyny
[22:05.900 --> 22:07.900]  Myślałem, że to był brat, ok
[22:07.900 --> 22:09.900]  Ok
[22:11.900 --> 22:12.900]  Prawda czy nieprawda?
[22:12.900 --> 22:13.900]  Prawda, prawda? Prawda, prawda?
[22:13.900 --> 22:16.900]  Tak, tak, tak, też idą na dyskotekę
[22:16.900 --> 22:21.900]  3. Ania jedzie do Poznania w sobotę wieczorem
[22:25.900 --> 22:27.900]  Nieprawda?
[22:27.900 --> 22:29.900]  Nieprawda, a kiedy jedzie do Poznania?
[22:29.900 --> 22:31.900]  Rano, rano, w sobotę rano
[22:31.900 --> 22:33.900]  Mhm
[22:33.900 --> 22:39.900]  Andrzej mówi, że Ania zawsze gdzieś jeździ i jeździ
[22:39.900 --> 22:41.900]  Prawda? Prawda, tak
[22:41.900 --> 22:45.900]  Andrzej nie lubi chodzić z Anią na dyskotekę
[22:48.900 --> 22:50.900]  Nieprawda? Nieprawda
[22:50.900 --> 22:58.900]  Andrzej powiedział, że wiesz, że bardzo lubię chodzić z Tobą na dyskotekę, bo świetnie tańczysz
[22:58.900 --> 23:00.900]  Czyli lubi, czyli tu jest nieprawda
[23:00.900 --> 23:02.900]  I numer 6
[23:02.900 --> 23:06.900]  Andrzej jedzie do Zakopanego pociągiem
[23:07.900 --> 23:09.900]  Prawda?
[23:09.900 --> 23:15.900]  On mówi, że pociągiem jest sens
[23:15.900 --> 23:19.900]  Ale mogę iść gdziekolwiek lubisz
[23:19.900 --> 23:21.900]  On mówi, że pociągiem nie ma sensu
[23:21.900 --> 23:23.900]  To bez sensu
[23:23.900 --> 23:25.900]  To ma sensu
[23:25.900 --> 23:27.900]  Bez sensu
[23:27.900 --> 23:30.900]  Ma sens, nie ma sensu
[23:30.900 --> 23:33.900]  To będzie bardzo, bardzo śmiesznie
[23:33.900 --> 23:36.900]  Czyli pociągiem bez sensu
[23:36.900 --> 23:37.900]  To jest nieprawda
[23:37.900 --> 23:41.900]  Jedziemy albo autobusem, albo samochodem
[23:41.900 --> 23:43.900]  To jest nieprawda
[23:43.900 --> 23:45.900]  To jest nieprawda
[23:45.900 --> 23:47.900]  To jest nieprawda
[23:47.900 --> 23:49.900]  To jest nieprawda
[23:49.900 --> 23:51.900]  Czyli nieprawda
[23:51.900 --> 23:53.900]  Nie jadę pociągu
[23:53.900 --> 23:55.900]  No dobrze, daliśmy radę
[23:55.900 --> 23:57.900]  I idziemy stąd
[23:57.900 --> 23:59.900]  Nie, dobra
[23:59.900 --> 24:01.900]  No to idziemy dalej
[24:01.900 --> 24:03.900]  To zrobiliśmy, to zrobiliśmy
[24:03.900 --> 24:05.900]  Okej
[24:05.900 --> 24:07.900]  Zobaczmy jeszcze
[24:07.900 --> 24:13.900]  Lekcja 60, nie lekcja, strona 67
[24:27.900 --> 24:29.900]  Czyli tak
[24:29.900 --> 24:32.900]  Kiedy mówimy wiedzieć
[24:32.900 --> 24:34.900]  Kiedy mówimy umieć
[24:34.900 --> 24:36.900]  Kiedy mówimy znać
[24:36.900 --> 24:38.900]  We were talking about it last time
[24:38.900 --> 24:40.900]  When we can say
[24:40.900 --> 24:42.900]  Wiem, imię, znam
[24:42.900 --> 24:43.900]  Okej
[24:43.900 --> 24:44.900]  Na początku
[24:44.900 --> 24:45.900]  Wiedzieć
[24:45.900 --> 24:49.900]  Kiedy mówimy, że ja wiem coś
[24:49.900 --> 24:51.900]  Wiem, że
[24:51.900 --> 24:55.900]  I know something
[24:55.900 --> 24:57.900]  Wiem, gdzie
[24:57.900 --> 24:59.900]  I know where something is
[24:59.900 --> 25:00.900]  Wiem, kiedy
[25:00.900 --> 25:02.900]  I know when
[25:02.900 --> 25:03.900]  Ile
[25:03.900 --> 25:05.900]  I know how much, how many
[25:05.900 --> 25:07.900]  Wiem jak
[25:07.900 --> 25:09.900]  I know how
[25:09.900 --> 25:11.900]  Czyli jeśli widzimy te słowa
[25:11.900 --> 25:13.900]  Że, gdzie, kiedy, ile, jak
[25:13.900 --> 25:15.900]  Że, gdzie, kiedy, ile, jak
[25:15.900 --> 25:17.900]  To wiemy
[25:17.900 --> 25:19.900]  Że uznamy słowa wiedzieć
[25:19.900 --> 25:21.900]  Że uznamy słowa wiedzieć
[25:21.900 --> 25:23.900]  Na przykład
[25:23.900 --> 25:25.900]  Czy wiesz ile w Polsce jest województw?
[25:25.900 --> 25:27.900]  Czy wiesz ile w Polsce jest województw?
[25:27.900 --> 25:29.900]  Czy ktoś wie ile w Polsce jest województw?
[25:29.900 --> 25:31.900]  Czy ktoś wie ile w Polsce jest województw?
[25:31.900 --> 25:33.900]  Co to jest województwo?
[25:33.900 --> 25:35.900]  To jest Polska, prawda?
[25:35.900 --> 25:37.900]  W województwie
[25:37.900 --> 25:39.900]  Tak
[25:39.900 --> 25:41.900]  Czyli w co
[25:41.900 --> 25:43.900]  W Stanach są Stany
[25:43.900 --> 25:45.900]  W Stanach są Stany
[25:45.900 --> 25:46.900]  Ile?
[25:46.900 --> 25:47.900]  Ile?
[25:47.900 --> 25:48.900]  Ile?
[25:48.900 --> 25:49.900]  Siedem?
[25:49.900 --> 25:50.900]  Nie?
[25:50.900 --> 25:51.900]  Szesnaście
[25:51.900 --> 25:53.900]  Szesnaście?
[25:53.900 --> 25:54.900]  Tak
[25:54.900 --> 25:57.900]  Kraków to jest województwo małopolskie
[25:57.900 --> 25:59.900]  To jest leser
[25:59.900 --> 26:01.900]  To jest region
[26:01.900 --> 26:02.900]  Dobrze
[26:02.900 --> 26:06.900]  Czy wiecie gdzie jest Zakopane?
[26:06.900 --> 26:08.900]  Do you know where Zakopane is?
[26:08.900 --> 26:10.900]  Gdzie jest Zakopane?
[26:14.900 --> 26:15.900]  Point
[26:15.900 --> 26:17.900]  Tak, w tą stronę
[26:17.900 --> 26:19.900]  To jest w górach, tak?
[26:19.900 --> 26:20.900]  Na górach
[26:20.900 --> 26:21.900]  W górach
[26:23.900 --> 26:27.900]  Czy wiecie kim jest Krystyna Jada?
[26:27.900 --> 26:29.900]  No, kłódeczko
[26:29.900 --> 26:31.900]  Who is Krystyna Jada?
[26:31.900 --> 26:32.900]  No
[26:32.900 --> 26:33.900]  Nie wiem
[26:33.900 --> 26:35.900]  To jest polska aktorka
[26:35.900 --> 26:37.900]  To jest polski aktor
[26:37.900 --> 26:39.900]  Czyli to wiemy
[26:39.900 --> 26:46.900]  A wiecie ile jest przypadków w języku polskim?
[26:46.900 --> 26:47.900]  Siedem
[26:47.900 --> 26:49.900]  Siedem, aha
[26:49.900 --> 26:52.900]  Potem mamy słowo umieć
[26:52.900 --> 26:55.900]  Umieć łączymy z bezokolicznikiem
[26:55.900 --> 26:58.900]  Czyli umieć to znaczy umieć
[26:58.900 --> 27:00.900]  Uda zbiegł umieć?
[27:00.900 --> 27:01.900]  To umieć
[27:01.900 --> 27:03.900]  To know how to do something?
[27:03.900 --> 27:05.900]  To can do something to be able
[27:05.900 --> 27:08.900]  Czy umiesz jeździć na nartach?
[27:08.900 --> 27:10.900]  Czy umiecie jeździć na nartach?
[27:10.900 --> 27:12.900]  Nie
[27:12.900 --> 27:13.900]  Nie?
[27:13.900 --> 27:15.900]  Co to jest?
[27:15.900 --> 27:16.900]  Nartes?
[27:16.900 --> 27:17.900]  Ski?
[27:17.900 --> 27:18.900]  Skim?
[27:18.900 --> 27:19.900]  Ja nie wiem jak to skim
[27:19.900 --> 27:22.900]  A czy umiecie gotować?
[27:22.900 --> 27:24.900]  Tak
[27:24.900 --> 27:25.900]  Tak, ok
[27:25.900 --> 27:27.900]  A czy umiecie pływać?
[27:27.900 --> 27:29.900]  Tak
[27:29.900 --> 27:30.900]  Nie
[27:30.900 --> 27:31.900]  Nie?
[27:31.900 --> 27:32.900]  Nie
[27:32.900 --> 27:33.900]  Nie
[27:33.900 --> 27:37.900]  A czy umiecie pływać tenisa?
[27:37.900 --> 27:38.900]  Tak
[27:38.900 --> 27:39.900]  Nie, no
[27:39.900 --> 27:41.900]  Mhm, mhm, tak
[27:41.900 --> 27:44.900]  Czyli umieć i bezokolicznik
[27:44.900 --> 27:48.900]  So we have this situation that we have two verbs
[27:48.900 --> 27:50.900]  Umieć is a verb
[27:50.900 --> 27:52.900]  The other one is also a verb
[27:52.900 --> 27:54.900]  But the first we are changing
[27:54.900 --> 27:57.900]  So umiesz, umiem, umiemy
[27:57.900 --> 28:00.900]  But the second is always in the same form
[28:00.900 --> 28:03.900]  So bezokolicznik
[28:03.900 --> 28:05.900]  This is the form of the verb
[28:05.900 --> 28:08.900]  When at the end is ci
[28:08.900 --> 28:12.900]  Gotować, tańczyć, pływać
[28:12.900 --> 28:14.900]  To jest bezokolicznik
[28:14.900 --> 28:15.900]  Ok
[28:15.900 --> 28:18.900]  I ostatnie znać
[28:18.900 --> 28:23.900]  Znać means I know someone
[28:23.900 --> 28:26.900]  Or I have knowledge
[28:26.900 --> 28:27.900]  To is the same
[28:27.900 --> 28:29.900]  Znać plus biernik
[28:29.900 --> 28:30.900]  Na przykład
[28:30.900 --> 28:32.900]  Czy znasz Lecha Wałęsę?
[28:32.900 --> 28:35.900]  To jest były polski prezydent
[28:35.900 --> 28:36.900]  Mhm
[28:36.900 --> 28:40.900]  Czy znasz jakiegoś polskiego artystę?
[28:40.900 --> 28:41.900]  Na przykład
[28:41.900 --> 28:44.900]  Czy znacie jakiegoś polskiego artystę?
[28:44.900 --> 28:47.900]  Na przykład piosenkarza albo piosenkarkę?
[28:47.900 --> 28:52.900]  Hmm, raczej nie
[28:52.900 --> 28:54.900]  Nie znał
[28:54.900 --> 28:55.900]  Nie znał
[28:55.900 --> 28:58.900]  A czy...
[28:58.900 --> 29:00.900]  Oh, ok
[29:00.900 --> 29:02.900]  Kaska Sochacka?
[29:02.900 --> 29:04.900]  O, kaska Sochacka, dobra
[29:04.900 --> 29:06.900]  To jest polska piosenkarka
[29:06.900 --> 29:09.900]  Hmm
[29:09.900 --> 29:13.900]  A na przykład ile znaczy języków?
[29:13.900 --> 29:15.900]  A u mnie nie lego, żeby no
[29:15.900 --> 29:19.900]  Lemuj, czyst?
[29:19.900 --> 29:21.900]  Three and a poo
[29:21.900 --> 29:22.900]  Sze poo
[29:22.900 --> 29:23.900]  Sze poo
[29:23.900 --> 29:24.900]  Sze poo
[29:24.900 --> 29:27.900]  Ok, jakie to są języki?
[29:27.900 --> 29:32.900]  Angielski, hinduski
[29:32.900 --> 29:34.900]  Ok, hindi?
[29:34.900 --> 29:35.900]  Hindi
[29:35.900 --> 29:36.900]  Hindi
[29:36.900 --> 29:37.900]  Chyba ktoś nazwa pachini?
[29:37.900 --> 29:38.900]  Hindi
[29:38.900 --> 29:42.900]  Local language, w Indii Marathi
[29:42.900 --> 29:43.900]  Aha
[29:43.900 --> 29:44.900]  I...
[29:44.900 --> 29:45.900]  Czyli język lokalny?
[29:45.900 --> 29:46.900]  Lokalny tak
[29:46.900 --> 29:48.900]  I trochę polskiego
[29:48.900 --> 29:49.900]  Ok, pół polskiego
[29:49.900 --> 29:51.900]  Dwa pół polskiego tak
[29:51.900 --> 29:53.900]  Dobra, a pani nie leka jej język?
[29:53.900 --> 29:55.900]  Czym?
[29:55.900 --> 29:56.900]  Mhm
[29:56.900 --> 29:58.900]  Angielski
[29:58.900 --> 29:59.900]  Mhm, angielski
[29:59.900 --> 30:01.900]  Arab... arabski
[30:01.900 --> 30:02.900]  Aha
[30:02.900 --> 30:05.900]  Lokalny, angielski
[30:05.900 --> 30:06.900]  Język lokalny?
[30:06.900 --> 30:07.900]  Mhm
[30:07.900 --> 30:09.900]  Ok, i trochę polskiego?
[30:09.900 --> 30:10.900]  Pół
[30:10.900 --> 30:12.900]  Dobra, trochę
[30:12.900 --> 30:14.900]  Dobra, a pani jak język?
[30:14.900 --> 30:18.900]  Znaczy op... polskiego i...
[30:18.900 --> 30:20.900]  Angielski, to?
[30:20.900 --> 30:21.900]  Mhm
[30:21.900 --> 30:22.900]  I japoński
[30:22.900 --> 30:23.900]  Japoński?
[30:23.900 --> 30:24.900]  Mhm
[30:24.900 --> 30:47.900]  Dobra, no dobrze, ok, czyli wiemy, wiedzieć, umieć znać, super, to, to wiemy, i co, i co? Dobra, i jeszcze sobie szybko zobaczymy godziny, to mamy lekcje, nie lekcje, strona 68, czyli następna strona, next page
[30:47.900 --> 30:48.900]  Uuu
[30:48.900 --> 30:57.900]  Mówiliśmy ostatnio, jak można mówić o godzinach, tak? Pytanie, która jest godzina?
[30:57.900 --> 31:04.900]  I odpowiadamy albo w sposób oficjalny, albo w sposób nieoficjalny
[31:04.900 --> 31:16.900]  Sposób oficjalny to jest na przykład 21, ale nieoficjalnie powiemy, że to jest 9, tak? Czyli 21 to jest 9, tak?
[31:16.900 --> 31:30.900]  21 to jest oficjalnie, ale 9 to będzie nieoficjalnie, bo 9 to jest 21 minus 12
[31:30.900 --> 31:32.900]  Chyba wiemy, dobra
[31:32.900 --> 31:41.900]  I możemy też powiedzieć, że jest 7, 15 albo kwadrans po 7, albo 15 po 7
[31:41.900 --> 31:42.900]  Ymm
[31:42.900 --> 31:44.900]  8, 30 to na przykład w pół do 9, czyli...
[31:44.900 --> 31:45.900]  Ymm
[31:45.900 --> 31:51.900]  W pół do 9 i 17, 55 to jest za 5, 6
[31:51.900 --> 31:56.900]  I właśnie sobie tutaj też przypominamy pełna godzina
[31:56.900 --> 31:58.900]  Na pytanie, która jest godzina?
[31:58.900 --> 32:01.900]  Pierwsza, druga, piąta, dwudziesta
[32:01.900 --> 32:03.900]  Końcówka a
[32:03.900 --> 32:07.900]  Ile jest po? Na przykład jest...
[32:07.900 --> 32:08.900]  Która godzina?
[32:08.900 --> 32:10.900]  Jest 7?
[32:10.900 --> 32:13.900]  7 po 10, tak?
[32:13.900 --> 32:15.900]  7 po 10
[32:15.900 --> 32:16.900]  Czyli końcówka a
[32:16.900 --> 32:18.900]  20 po 1
[32:18.900 --> 32:19.900]  Ymm
[32:19.900 --> 32:22.900]  15 po 20, 2, tak?
[32:22.900 --> 32:24.900]  Odmieniamy końcówka a
[32:24.900 --> 32:26.900]  W pół do
[32:26.900 --> 32:29.900]  Czyli half past
[32:29.900 --> 32:32.900]  But in English you have half past
[32:32.900 --> 32:35.900]  Now is, ok, let's say half past 10
[32:35.900 --> 32:39.900]  Ale tutaj half past 10 to będzie w pół do 11
[32:39.900 --> 32:43.900]  Czyli jest pół godziny do następnej godziny
[32:43.900 --> 32:44.900]  So it's half past 10, ok?
[32:44.900 --> 32:47.900]  To jest half till next hour
[32:47.900 --> 32:48.900]  Yhm
[32:48.900 --> 32:50.900]  No i ostatnie
[32:50.900 --> 32:52.900]  Za ileś?
[32:52.900 --> 32:55.900]  Pierwsza, druga, trzecia
[32:55.900 --> 32:56.900]  Na przykład
[32:56.900 --> 32:58.900]  Za 10, 20
[32:58.900 --> 33:02.900]  Za 15, 21, tak?
[33:02.900 --> 33:04.900]  Czyli a, a, e, e
[33:04.900 --> 33:06.900]  I to zapamiętujemy
[33:06.900 --> 33:07.900]  Dobra, tak
[33:07.900 --> 33:08.900]  Która jest godzina?
[33:08.900 --> 33:10.900]  Na tym razie nie
[33:10.900 --> 33:12.900]  Ok
[33:12.900 --> 33:14.900]  No i w takim razie
[33:14.900 --> 33:16.900]  Zobaczmy sobie tu
[33:16.900 --> 33:18.900]  Druga strona
[33:18.900 --> 33:20.900]  Mamy tutaj godzinę
[33:20.900 --> 33:22.900]  Ymm
[33:22.900 --> 33:24.900]  Która jest godzina?
[33:24.900 --> 33:26.900]  Ta pierwsza
[33:26.900 --> 33:34.900]  Jak powiemy oficjalnie?
[33:34.900 --> 33:38.900]  Która to godzina?
[33:38.900 --> 33:45.900]  14
[33:45.900 --> 33:47.900]  45
[33:47.900 --> 33:48.900]  Super
[33:48.900 --> 33:50.900]  A nie oficjalnie?
[33:50.900 --> 33:53.900]  Za kwadrans
[33:53.900 --> 33:55.900]  Za kwadrans która?
[33:55.900 --> 33:57.900]  Za
[33:57.900 --> 33:59.900]  Trzecia
[33:59.900 --> 34:02.900]  Za kwadrans trzecia albo za kwadrans piętnasta
[34:02.900 --> 34:04.900]  Dobra
[34:04.900 --> 34:06.900]  A ta następna?
[34:06.900 --> 34:09.900]  Ta następna godzina
[34:09.900 --> 34:12.900]  Która to jest?
[34:12.900 --> 34:19.900]  15
[34:19.900 --> 34:20.900]  Mhm
[34:20.900 --> 34:22.900]  15
[34:22.900 --> 34:23.900]  Super
[34:23.900 --> 34:26.900]  A nie oficjalnie powiemy, że?
[34:26.900 --> 34:30.900]  Kwadrans po trzecia
[34:30.900 --> 34:32.900]  Po trzeciej
[34:32.900 --> 34:33.900]  Trzecie
[34:33.900 --> 34:34.900]  Kwadrans po trzeciej
[34:34.900 --> 34:35.900]  Tak, czyli jest
[34:35.900 --> 34:36.900]  Trzeciej etaty
[34:36.900 --> 34:37.900]  Tak, tak, tak
[34:37.900 --> 34:38.900]  15
[34:38.900 --> 34:39.900]  Mhm
[34:39.900 --> 34:40.900]  15
[34:40.900 --> 34:41.900]  15
[34:41.900 --> 34:44.900]  Ale kwadrans po trzeciej albo po piętnastej
[34:44.900 --> 34:45.900]  Dobra
[34:45.900 --> 34:46.900]  A ta godzina?
[34:46.900 --> 34:47.900]  12
[34:47.900 --> 34:48.900]  12
[34:48.900 --> 34:49.900]  A jak inaczej powiemy na 12?
[34:49.900 --> 34:50.900]  12
[34:50.900 --> 34:51.900]  12
[34:51.900 --> 34:52.900]  12
[34:52.900 --> 34:53.900]  12
[34:53.900 --> 34:54.900]  12
[34:54.900 --> 34:55.900]  12
[34:55.900 --> 34:56.900]  12
[34:56.900 --> 34:57.900]  12
[34:57.900 --> 34:58.900]  12
[34:58.900 --> 34:59.900]  12
[34:59.900 --> 35:00.900]  12
[35:00.900 --> 35:01.900]  12
[35:01.900 --> 35:02.900]  12
[35:02.900 --> 35:03.900]  12
[35:03.900 --> 35:04.900]  12
[35:04.900 --> 35:05.900]  Dobra
[35:05.900 --> 35:06.900]  I co powiemy na 12?
[35:06.900 --> 35:07.900]  Mówiliśmy ostatnio
[35:07.900 --> 35:10.900]  Takie słowo na Fy
[35:10.900 --> 35:12.900]  Pół
[35:12.900 --> 35:13.900]  No
[35:13.900 --> 35:14.900]  Pół
[35:14.900 --> 35:15.900]  Aha
[35:15.900 --> 35:16.900]  Puł
[35:16.900 --> 35:17.900]  Półpołudniu
[35:17.900 --> 35:19.900]  Półpołudnie
[35:19.900 --> 35:22.900]  To jest południe
[35:22.900 --> 35:23.900]  Południo
[35:23.900 --> 35:24.900]  Mhm
[35:24.900 --> 35:28.900]  Ale już na przykład 14 to jest po południu
[35:28.900 --> 35:30.900]  So this is like
[35:30.900 --> 35:31.900]  Moon
[35:31.900 --> 35:32.900] 问 and this is after noon
[35:32.900 --> 35:34.900]  Dobra
[35:34.900 --> 35:37.900]  A ta godzina?
[35:39.900 --> 35:40.900]  Północ.
[35:40.900 --> 35:42.900]  Albo napisana w ten sposób.
[35:47.900 --> 35:50.900]  Północy, like, but.
[35:50.900 --> 35:51.900]  Północ.
[35:51.900 --> 35:53.900]  To jest północ.
[35:54.900 --> 35:55.900]  Która jest godzina?
[35:55.900 --> 35:57.900]  Jest północ.
[35:57.900 --> 35:59.900]  Albo?
[36:01.900 --> 36:03.900]  Dwudziesta czwarta.
[36:03.900 --> 36:05.900]  Albo dwunasta.
[36:06.900 --> 36:09.900]  Bo to jest dwanaście plus dwanaście.
[36:10.900 --> 36:12.900]  Dwadzieścia cztery.
[36:12.900 --> 36:15.900]  To jest dziewiąta. To też jest dziewiąta.
[36:15.900 --> 36:17.900]  I to jest dwunasta.
[36:17.900 --> 36:19.900]  To też jest dwunasta.
[36:20.900 --> 36:21.900]  Dobra.
[36:26.900 --> 36:28.900]  A ta godzina?
[36:31.900 --> 36:33.900]  Osiemnasta sześćdziesiąt.
[36:33.900 --> 36:34.900]  Super.
[36:34.900 --> 36:36.900]  Albo?
[36:42.900 --> 36:43.900]  Siedemdziesiąt.
[36:43.900 --> 36:45.900]  Siedemdziesiąt.
[36:45.900 --> 36:48.900]  W pół do siódmej?
[36:48.900 --> 36:50.900]  Super. W pół do siódmej.
[36:50.900 --> 36:55.900]  Czyli następna godzina to jest siódma, dziewiętnasta.
[36:55.900 --> 36:58.900]  Czyli jest pół godziny do następnej.
[36:58.900 --> 36:59.900]  Mhm.
[36:59.900 --> 37:00.900]  Mhm.
[37:03.900 --> 37:10.900]  Dobra. A ta godzina?
[37:10.900 --> 37:17.900]  Dziesięć po siódmej.
[37:17.900 --> 37:21.900]  Super. Pięćdziesiąt po siódmych albo siódma do dziesięć.
[37:21.900 --> 37:27.900]  Dobra. Widzę, że godziny nam idą dobrze.
[37:27.900 --> 37:31.900]  No dobrze. No to w takim razie idziemy dalej.
[37:31.900 --> 37:32.900]  Zobaczmy.
[37:33.900 --> 37:40.900]  Trzy minuty포zy.
[37:40.900 --> 37:51.900]  Dzięki.
[38:00.900 --> 38:01.900]  .
[38:01.900 --> 38:07.960]  Ok.
[38:10.960 --> 38:11.920]  Rano.
[38:17.800 --> 38:18.480]  W południe.
[38:22.480 --> 38:25.240]  Po południu.
[38:25.240 --> 38:25.280]  W południu.
[38:25.280 --> 38:32.200]  Wieczór.
[38:33.020 --> 38:34.920]  I noc.
[38:37.100 --> 38:37.840]  I północ.
[38:44.140 --> 38:45.140]  Ok.
[38:45.360 --> 38:45.880]  Południe.
[38:46.000 --> 38:46.780]  Która to godzina?
[38:47.040 --> 38:48.620]  Mówiliśmy dwunasta.
[38:48.620 --> 38:52.620]  I północ.
[38:53.620 --> 38:54.620]  To...
[38:55.280 --> 38:56.040]  Północ.
[38:57.080 --> 38:58.100]  Kiedy jest rano?
[38:59.560 --> 39:00.760]  Jak Państwo uśną?
[39:01.860 --> 39:04.380]  Od której godziny do której godziny jest rano?
[39:08.540 --> 39:09.340]  Sześć.
[39:10.780 --> 39:11.460]  Szósta.
[39:13.460 --> 39:13.820]  Do.
[39:14.420 --> 39:14.780]  Do.
[39:18.500 --> 39:19.380]  Dziewięta.
[39:19.980 --> 39:20.580]  To jest rano?
[39:20.580 --> 39:20.780]  Ok.
[39:22.360 --> 39:22.900]  Może być.
[39:24.320 --> 39:25.120]  To.
[39:25.280 --> 39:25.780]  Dobra.
[39:25.780 --> 39:33.780]  No to w takim razie jeszcze możemy dopisać przed południem.
[39:36.980 --> 39:38.980]  Południem.
[39:39.820 --> 39:47.400]  I w takim razie to na przykład będzie między dziewiątą do południa, czyli do dwunasta.
[39:47.400 --> 39:49.400]  Dobrze.
[39:49.400 --> 39:50.600]  Kiedy jest po południu?
[39:50.600 --> 39:54.200]  Czyli po południu to jest po południu.
[39:54.200 --> 39:55.000]  Do której?
[39:55.000 --> 39:55.160]  Po południu.
[39:55.160 --> 39:57.160]  Jest po południe.
[40:00.660 --> 40:01.660]  Piętnasta.
[40:01.660 --> 40:03.660]  Piętnasta.
[40:03.660 --> 40:04.660]  Cztery.
[40:04.660 --> 40:06.660]  A wieczór kiedy się zaczyna?
[40:10.660 --> 40:11.660]  Sześć.
