"C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Scripts\python.exe" "C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\transcribe.py"
C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Lib\site-packages\whisper\transcribe.py:132: UserWarning: FP16 is not supported on CPU; using FP32 instead
  warnings.warn("FP16 is not supported on CPU; using FP32 instead")
[00:00.000 --> 00:02.000]  Ja mam ten.
[21:21.000 --> 21:25.000]  Nie wiem, czy mieliśmy męczność w tym,
[21:25.000 --> 21:31.000]  ale powiedzmy, że jadłem jajko wczoraj,
[21:31.000 --> 21:37.000]  a jeśli mówimy, że jadłem jajko, kiedy wróciłem do domu.
[21:37.000 --> 21:40.000]  To jest taki sam typ pytania.
[21:40.000 --> 21:46.000]  Tak, to był czas, kiedy jadłem jajko.
[21:46.000 --> 21:48.000]  To jest normalne?
[21:48.000 --> 21:50.000]  Tak, to jest normalne.
[21:50.000 --> 21:54.000]  To jest jadłem, jadłem, jadłem, jadłem.
[21:54.000 --> 21:58.000]  To jest jadłem, jadłem, jadłem, jadłem.
[21:58.000 --> 22:01.000]  To jest jadłem, jadłem, jadłem, jadłem.
[22:01.000 --> 22:03.000]  Jadłem.
[22:03.000 --> 22:05.000]  Jadłko.
[22:05.000 --> 22:09.000]  To znaczy, że jadłem jajko wczoraj, czy coś takiego.
[22:09.000 --> 22:12.000]  Jadłem, kiedy wróciłem do domu.
[22:12.000 --> 22:14.000]  Ok, jadłem.
[22:14.000 --> 22:18.000]  Ale powiedzmy, że już jadłeś jajko wczoraj,
[22:18.000 --> 22:21.000]  czyli już jadłeś jajko wczoraj, czy coś takiego.
[22:21.000 --> 22:23.000]  Jak już jadłeś jajko wczoraj.
[22:23.000 --> 22:27.000]  Jak już jadłem jajko.
[22:27.000 --> 22:30.000]  Jak już jadłem jajko.
[22:30.000 --> 22:32.000]  Tak, to jest tak, że ja mogłem jeść jajko?
[22:32.000 --> 22:36.000]  Jadłem to znaczy, że jadłem jajko, kiedy wróciłem do domu.
[22:36.000 --> 22:37.000]  I to koniec.
[22:37.000 --> 22:40.000]  Tak, to znaczy, że jadłem jajko wczoraj, kiedy wróciłem do domu.
[22:40.000 --> 22:46.000]  Jak ktoś mi oferuje jajko, to ja mówię, że już jadłem jajko wczoraj.
[22:46.000 --> 22:49.000]  Tak, jadłem jajko wczoraj, czyli jadłem jajko wczoraj.
[22:49.000 --> 22:50.000]  Tak.
[22:50.000 --> 22:54.000]  I to nie ma sensu, żeby powiedzieć, że jadłem jajko wczoraj.
[22:54.000 --> 22:58.000]  To brzmi głupio.
[22:58.000 --> 22:59.000]  Nie.
[22:59.000 --> 23:02.000]  Właściwie...
[23:02.000 --> 23:05.000]  Czemu pytasz takie trudne pytania?
[23:05.000 --> 23:06.000]  Nie ma sensu, o mój Boże.
[23:06.000 --> 23:07.000]  Przepraszam.
[23:07.000 --> 23:11.000]  Właściwie, na przykład, kiedy idziesz gdzieś,
[23:11.000 --> 23:15.000]  i spotykasz się z kimś, i zapytają, czy już jadłeś coś.
[23:15.000 --> 23:16.000]  Tak.
[23:16.000 --> 23:17.000]  Możesz powiedzieć, że już jadłem.
[23:17.000 --> 23:18.000]  Tak.
[23:18.000 --> 23:21.000]  Jak... jadłem coś.
[23:21.000 --> 23:23.000]  Ja jadłam wcześniej, więc nie jestem w stanie...
[23:23.000 --> 23:24.000]  Tak.
[23:24.000 --> 23:28.000]  Ty praktycznie jadłeś coś, ale możesz powiedzieć, że ja jadłam.
[23:28.000 --> 23:29.000]  Ok.
[23:29.000 --> 23:31.000]  To jest naprawdę taka zainteresowanie?
[23:31.000 --> 23:32.000]  Tak, tak.
[23:32.000 --> 23:33.000]  Tak, tak.
[23:33.000 --> 23:34.000]  Tak.
[23:34.000 --> 23:35.000]  Ok.
[23:35.000 --> 23:40.000]  I myślę, że inna pytanie jest, czy to jest w zasadzie tylko ostatni ten sposób?
[23:40.000 --> 23:41.000]  Tak.
[23:41.000 --> 23:42.000]  Tak.
[23:42.000 --> 23:43.000]  Tak.
[23:43.000 --> 23:44.000]  Tak.
[23:44.000 --> 23:45.000]  crowning.
[23:45.000 --> 23:46.000]  Tak.
[23:46.000 --> 23:47.000]  Tak?
[23:47.000 --> 23:48.000]  Tak.
[23:48.000 --> 23:51.000]  To jest надzieja na to, że wyристawałeś człowiek kre Coalition,
[23:51.000 --> 23:52.500]  że green vonента była nareszcie
[23:52.500 --> 23:54.000]  mieli one white dice,
[23:54.000 --> 23:55.060]  więc może to nie tak...
[23:55.060 --> 23:56.080]  Tak, tak, tak...
[23:56.080 --> 23:58.900]  Tam, gdzie już spełniło twoje pudrą
[23:58.900 --> 24:01.900]  nie było teżасти i nic z zawartości tego tutaj nie dostała,
[24:01.900 --> 24:02.780]  Jej...
[24:02.780 --> 24:07.560]  государstwo ogól�י była nadziewane w 1933 roku.
[24:07.560 --> 24:08.200]  Pozajemnika od podwójnego wy nawrócen tego wyrównanejado
[24:10.080 --> 24:11.080]  i pow味llił się w tych mostach i wy workshop'ów...
[24:11.080 --> 24:12.080]  Tak.
[24:12.080 --> 24:13.080]  Takau...
[24:13.080 --> 24:13.580]  Tak.
[24:14.000 --> 24:16.000]  I to jest to, co ja robię.
[24:21.000 --> 24:26.000]  Bo myślę, że dla mnie są to tylko dwa typy tego, co ja jadłem i co je je.
[24:27.000 --> 24:29.000]  I myślę, że to wszystko jest idiotyczne.
[24:29.000 --> 24:33.000]  Myślę, że możemy sobie to wyobrazić jako dwa typy.
[24:33.000 --> 24:37.000]  Bo coś jest nieznane, a coś jest nieznane.
[24:37.000 --> 24:41.000]  Technicznie w polskim mamy trzy kasy.
[24:41.000 --> 24:43.000]  Przed, obecne i przyszłe.
[24:43.000 --> 24:45.000]  I to jest przeszłe, w generalnej.
[24:45.000 --> 24:55.000]  Ale kiedy myślisz o tym, kiedy chcesz przesłuchać to w języku angielskim,
[24:55.000 --> 24:58.000]  może możesz pomyśleć o tych dwóch różnych kasych,
[24:58.000 --> 25:00.000]  jak don i undone.
[25:00.000 --> 25:05.000]  Ale oficjalnie w technicznym mamy jedną, ale ma aspekt.
[25:08.000 --> 25:11.000]  Więc jest aspekt, a czy będziemy się nauczyć więcej kasy?
[25:11.000 --> 25:13.000]  Czy to jest tylko przeszłe, obecne i przyszłe?
[25:13.000 --> 25:14.000]  Czy będziemy się nauczyć więcej?
[25:14.000 --> 25:17.000]  Czy nie będziemy się nauczyć jakaś inna kasy?
[25:18.000 --> 25:21.000]  Niektóre języki mają takie rzeczy jak could,
[25:23.000 --> 25:29.000]  są takie kasy moralne, które są takie kasy zgodne z tym, co się dzieje.
[25:30.000 --> 25:35.000]  A w polskim mamy te trzy kasy i używamy słów jak mozia, moziewicz,
[25:35.000 --> 25:39.000]  żeby pokazać te rzeczy, które może być...
[25:39.000 --> 25:42.000]  Bo w angielskim mamy to, że could, czy coś takiego.
[25:43.000 --> 25:45.000]  I nawet jeśli ludzie nie znają tego, to nie są to kasy,
[25:45.000 --> 25:48.000]  ale tylko chcę, żebyśmy się nauczyli.
[25:48.000 --> 25:51.000]  Bo pamiętam, kiedy byłem na kresie, to mieliśmy wiele kasy.
[25:51.000 --> 25:52.000]  Dobrze.
[25:52.000 --> 25:55.000]  Mamy trzy, ale...
[26:04.000 --> 26:11.000]  Mamy trzy, ale mamy też więcej rzeczy, więcej rozmiarów.
[26:11.000 --> 26:15.000]  Ale na koniec dnia, wszystkie te rozmiary o słowach
[26:15.000 --> 26:18.000]  można włożyć w przeszłość, obecność i przyszłość.
[26:19.000 --> 26:21.000]  Bo na przykład mamy...
[26:21.000 --> 26:23.000]  Co to jest? Imperatywne?
[26:28.000 --> 26:32.000]  Nie wiem, czy to jest po angielsku.
[26:32.000 --> 26:34.000]  Imperatywne, tak bym powiedziała.
[26:34.000 --> 26:35.000]  Wiesz, imperatywne?
[26:35.000 --> 26:36.000]  Tak, tak.
[26:36.000 --> 26:37.000]  Tak, dokładnie.
[26:37.000 --> 26:40.000]  Jak ty mówisz, że ktoś ma coś zrobić.
[26:40.000 --> 26:41.000]  Tak.
[26:41.000 --> 26:42.000]  Więc mamy...
[26:42.000 --> 26:43.000]  To nazywa się trip.
[26:43.000 --> 26:52.000]  Więc to jest również inna wersja, inna sytuacja o słowach,
[26:52.000 --> 26:58.000]  ale na koniec dnia można to włożyć w przeszłość, obecność i przyszłość.
[26:58.000 --> 27:02.000]  Więc nie jestem pewien, czy to jest to, co chciałbyś zapytać, ale...
[27:02.000 --> 27:03.000]  Tak, to jest tylko...
[27:03.000 --> 27:06.000]  Masz wiele rzeczy, których jeszcze nie wiesz,
[27:06.000 --> 27:09.000]  takie jak imperatywne i te rzeczy o tym, w jakim są.
[27:09.000 --> 27:12.000]  Takie rzeczy i też inne coś, co nie wiem,
[27:12.000 --> 27:15.000]  ale na koniec dnia wszystko jest w przeszłości.
[27:15.000 --> 27:16.000]  Ok.
[27:16.000 --> 27:19.000]  Czekałem tylko, czy będzie to wiele więcej rzeczy,
[27:19.000 --> 27:23.000]  bo myślę, że coś, co mogłem już wyjść,
[27:23.000 --> 27:26.000]  albo coś innego, co jest dziwne,
[27:26.000 --> 27:28.000]  co się wychodzi i się zmienia.
[27:28.000 --> 27:32.000]  Więc chciałem zapytać, czy polski jest taki język, który ma wiele tensów,
[27:32.000 --> 27:35.000]  czy są inne rzeczy, które w tym nie pracują.
[27:35.000 --> 27:36.000]  Inne rzeczy.
[27:36.000 --> 27:37.000]  To jest bardziej...
[27:37.000 --> 27:38.000]  Trzy tensy zawsze,
[27:38.000 --> 27:40.000]  ale też inne rzeczy,
[27:40.000 --> 27:43.000]  takie dziwne rzeczy, które są w trzech tensach,
[27:43.000 --> 27:45.000]  ale są również w przeszłości.
[27:45.000 --> 27:47.000]  Więc praktycznie cały czas, kiedy słyszysz coś,
[27:47.000 --> 27:49.000]  będzie to takie konjugacja na końcu.
[27:49.000 --> 27:50.000]  Tak.
[27:50.000 --> 27:52.000]  W przeszłości, tak.
[27:52.000 --> 27:54.000]  I także wyzwania.
[27:54.000 --> 27:56.000]  Więc to jest bardzo ważne.
[27:56.000 --> 27:57.000]  Tak.
[27:57.000 --> 27:59.000]  Mam jeszcze jedną pytanie.
[27:59.000 --> 28:01.000]  Czy są to wszystkie wyzwania?
[28:01.000 --> 28:03.000]  Oczywiście nie.
[28:03.000 --> 28:06.000]  Myślisz, że wszystkie wyzwania będą wytrzymały się na jednym slajdzie?
[28:06.000 --> 28:07.000]  Tak.
[28:37.000 --> 28:40.000]  Może nie wiele wyzwaniów,
[28:40.000 --> 28:42.000]  bo teraz nie mogę myśleć o niczym innym,
[28:42.000 --> 28:44.000]  ale na pewno jest coś.
[28:44.000 --> 28:50.000]  Mamy wiele słów z angielskiego, francuskiego, natyckiego i wszystkiego,
[28:50.000 --> 28:53.000]  więc nie są to wyzwania.
[28:53.000 --> 28:55.000]  Może coś takiego.
[28:55.000 --> 28:57.000]  Ale to tylko próbuję się stracić.
[28:57.000 --> 28:58.000]  Tak.
[28:58.000 --> 29:01.000]  Ale masz... co? Pięć?
[29:01.000 --> 29:02.000]  Jest pięć wyzwaniów.
[29:02.000 --> 29:03.000]  Pięć wyzwaniów.
[29:03.000 --> 29:04.000]  Pięć ważnych.
[29:04.000 --> 29:05.000]  Tak.
[29:05.000 --> 29:10.000]  I myślę, że są też wyzwania na nazwę innego języka.
[29:10.000 --> 29:11.000]  Tak.
[29:11.000 --> 29:12.000]  Jakby...
[29:12.000 --> 29:14.000]  B, R, A...
[29:14.000 --> 29:16.000]  To nie jest wyzwanie, ale...
[29:16.000 --> 29:18.000]  Powiedzmy, że coś...
[29:18.000 --> 29:19.000]  Tak, niezwykle.
[29:19.000 --> 29:20.000]  Niezwykle.
[29:20.000 --> 29:22.000]  Nie wiem, jak to jest w angielsku.
[29:22.000 --> 29:24.000]  Nie wiem, jak to jest w angielsku.
[29:24.000 --> 29:25.000]  W rzeczywistości...
[29:25.000 --> 29:27.000]  To nie jest związane, ale jak...
[29:27.000 --> 29:29.000]  Byłem słuchając tego...
[29:29.000 --> 29:30.000]  To jest...
[29:30.000 --> 29:34.000]  Byłem słuchając tego podcastu i powiedzieli, że angielski ma właściwie najmniejszego liczba niezwykle.
[29:35.000 --> 29:44.000]  Więc kiedy nauczyciele, którzy nauczą się innych języków, kiedy przychodzą do niezwykle niezwykłych form angielskich wersji, to są dwa piosenki niezwykłych wersji.
[29:44.000 --> 29:47.000]  Natomiast w francuskim jest cały książek...
[29:47.000 --> 29:48.000]  Tak.
[29:48.000 --> 29:49.000]  Jest różna...
[29:49.000 --> 29:51.000]  Chociaż myślę, że w angielsku...
[29:51.000 --> 29:52.000]  Czy nawet...
[29:52.000 --> 29:53.000]  W przeszłości swim...
[29:53.000 --> 29:55.000]  Czy to swam czy swam?
[29:55.000 --> 29:56.000]  Swam czy...
[29:56.000 --> 29:58.000]  Swam jest też słowem.
[29:58.000 --> 29:59.000]  Jest dużo dziwnych rzeczy.
[29:59.000 --> 30:00.000]  Tak.
[30:00.000 --> 30:01.000]  Nie wiem, jak to używać cały czas.
[30:01.000 --> 30:02.000]  Nie wiem.
[30:02.000 --> 30:03.000]  Ale w każdym razie...
[30:03.000 --> 30:04.000]  Powiem, że...
[30:04.000 --> 30:05.000]  Jak wiem...
[30:05.000 --> 30:06.000]  Nie jestem pewna, nie jestem...
[30:06.000 --> 30:09.000]  Jako że nie jest miło angielski, ale...
[30:09.000 --> 30:10.000]  Powiem, że...
[30:10.000 --> 30:16.000]  Moim zdaniem angielski jest dużo, dużo, dużo łatwiejszy niż polski.
[30:16.000 --> 30:19.000]  Więc muszę być szczęśliwa i...
[30:19.000 --> 30:20.000]  Ok.
[30:20.000 --> 30:21.000]  Ok.
[30:21.000 --> 30:23.000]  Tak.
[30:23.000 --> 30:29.000]  Myślę, że jest pewien powód, dlaczego polski jest jednym z najgłupszych języków w świecie.
[30:29.000 --> 30:30.000]  Tak.
[30:30.000 --> 30:31.000]  Tak.
[30:31.000 --> 30:32.000]  Ok.
[30:32.000 --> 30:33.000]  Tak.
[30:33.000 --> 30:34.000]  Ok.
[30:34.000 --> 30:35.000]  No to zadaidades w reali?
[30:36.000 --> 30:37.000]  Ale nie.
[30:37.000 --> 30:38.000]  Ale nie.
[30:38.000 --> 30:39.000]  Jak można to mówić w nieco tremendous zmCR?
[30:39.000 --> 30:40.000]  Mówię?
[30:40.000 --> 30:41.000]  Nie devo roar CPUami.
[30:41.000 --> 30:42.000]  Ok.
[30:42.000 --> 30:43.000]  Też czekamy, czekamy.
[30:43.000 --> 30:44.000]  Zrobi pixel,.
[30:44.000 --> 30:45.000]  Ucka...
[30:45.000 --> 30:46.000]  To albo byłem odrobiną..
[30:46.000 --> 30:47.000]  Toérie czy ja z powodu rozwoju potrzebę?
[30:47.000 --> 30:48.000]  Ja nie mam wątpliwości...
[30:49.000 --> 30:50.000]  To w ogóle spór educacją.
[30:50.000 --> 31:02.900]  Czy rifffue dizzy amo, że jest com Netz
[31:02.900 --> 31:03.900]  Nie.
[31:03.900 --> 31:04.900]  Aha.
[31:04.900 --> 31:09.900]  To jest tylko A1, A2, B1, B2, C1, C2.
[31:09.900 --> 31:10.900]  Tak, tak.
[31:10.900 --> 31:11.900]  Tylko 6 klas.
[31:11.900 --> 31:12.900]  Tak, no, znaczy, że jeśli bym...
[31:12.900 --> 31:13.900]  Przypomnę, jeśli bym...
[31:13.900 --> 31:14.900]  Mamy trzy klasy, prawda?
[31:14.900 --> 31:16.900]  Więc jeśli bym próbował...
[31:16.900 --> 31:17.900]  Następny poziom, tak?
[31:17.900 --> 31:18.900]  Więc A1.3, a potem B1.1, B1.2, B1.3.
[31:18.900 --> 31:19.900]  I wtedy...
[31:19.900 --> 31:20.900]  Ty jesteś w tej szkole?
[31:20.900 --> 31:21.900]  Tak.
[31:21.900 --> 31:22.900]  Jeśli...
[31:22.900 --> 31:23.900]  Bo oni rozwiązały to w trójkrotach.
[31:23.900 --> 31:24.900]  Tak, tak, tak.
[31:24.900 --> 31:25.900]  Trzy miesiące.
[31:25.900 --> 31:26.900]  Więc B1.1...
[31:26.900 --> 31:27.900]  Więc B...
[31:27.900 --> 31:28.900]  Kiedy bym...
[31:28.900 --> 31:32.900]  Technicznie, kiedy bym był gotowy na B1?
[31:32.900 --> 31:37.900]  Zanim zrobiłem B1.1, B1.2, B1.3?
[31:37.900 --> 31:38.900]  Czy...
[31:38.900 --> 31:39.900]  Nie, nie, nie, nie, nie.
[31:39.900 --> 31:40.900]  Nie, nie, nie, nie.
[31:40.900 --> 31:41.900]  Nie.
[31:41.900 --> 31:42.900]  Nie.
[31:42.900 --> 31:43.900]  Nie, nie, nie, nie.
[31:43.900 --> 31:44.900]  No, znaczy, że jak na kursach...
[31:44.900 --> 31:45.900]  No, technicznie, jak na kursach po B1.
[31:45.900 --> 31:46.900]  Wszystkich B1.
[31:46.900 --> 31:47.900]  Więc jeśli byś był w tej szkole...
[31:47.900 --> 31:48.900]  Więc B1 jest rozwiązaniem...
[31:48.900 --> 31:49.900]  No, to znaczy, że...
[31:49.900 --> 31:50.900]  Jeśli bym...
[31:50.900 --> 31:51.900]  Nie, nie, nie, nie, nie.
[31:51.900 --> 31:52.900]  Nie, nie, nie, nie.
[31:52.900 --> 31:53.900]  Tak, tak, tak.
[31:53.900 --> 31:54.900]  Czyli...
[31:54.900 --> 31:55.900]  Więc, jeśli...
[31:55.900 --> 31:56.900]  Więc, jeśli byś był w tej szkole...
[31:56.900 --> 31:58.900]  Więc B1 jest rozwiązaniem...
[31:58.900 --> 31:59.900]  Zgodnie z tym szkolem, B1 jest rozwiązaniem 3...
[31:59.900 --> 32:00.900]  Nie, nie, nie.
[32:00.900 --> 32:01.900]  Nie, nie, nie.
[32:01.900 --> 32:02.900]  Nie, nie, nie.
[32:02.900 --> 32:03.900]  Nie, nie, nie.
[32:03.900 --> 32:04.900]  Myślę, że to 3 na każdym, prawda?
[32:04.900 --> 32:05.900]  To jest...
[32:05.900 --> 32:06.900]  Czy to nie 1A, 1B, 1C czy coś?
[32:06.900 --> 32:07.900]  A1...
[32:07.900 --> 32:08.900]  Nie mam pojęcia.
[32:08.900 --> 32:09.900]  Wiem, że A1.1, 1.2, 1.3 jest tam, ponieważ...
[32:09.900 --> 32:10.900]  Ok, bo...
[32:10.900 --> 32:11.900]  Nie chcę być...
[32:11.900 --> 32:12.900]  Kolejny 6.
[32:12.900 --> 32:13.900]  Nie chcę być prawdziwym, ale nie mam pojęcia...
[32:13.900 --> 32:14.900]  Jesteś substytutem, znaczy...
[32:14.900 --> 32:15.900]  Nie jest tak, że nie pracujesz.
[32:15.900 --> 32:16.900]  Ok, przepraszam, tak.
[32:16.900 --> 32:17.900]  Ale nie jesteś zdrawie.
[32:17.900 --> 32:18.900]  Więc...
[32:18.900 --> 32:19.900]  To jest takie...
[32:19.900 --> 32:20.900]  Jesteś substytutem, znaczy...
[32:20.900 --> 32:21.900]  Nie jest tak, że nie pracujesz.
[32:21.900 --> 32:22.900]  Ok, przepraszam, tak.
[32:22.900 --> 32:23.900]  Ale...
[32:23.900 --> 32:24.900]  Ty nie jesteś zdrawie...
[32:24.900 --> 32:25.900]  Więc...
[32:25.900 --> 32:26.900]  Tak?
[32:26.900 --> 32:27.900]  Tak.
[32:27.900 --> 32:28.900]  Więc masz...
[32:28.900 --> 32:29.900]  Tak.
[32:29.900 --> 32:30.900]  Ta A1...
[32:30.900 --> 32:31.900]  Wydawana na 3...
[32:31.900 --> 32:32.900]  Albo może nawet na 4 wersje.
[32:32.900 --> 32:33.900]  Tak?
[32:33.900 --> 32:34.900]  Ale czasami mam grupy zdrawiające...
[32:34.900 --> 32:35.900]  Bo są zdrawiające i mają...
[32:35.900 --> 32:36.900]  Prawie...
[32:36.900 --> 32:37.900]  Prawie...
[32:37.900 --> 32:38.900]  Prawie...
[32:38.900 --> 32:39.900]  Prawie...
[32:39.900 --> 32:40.900]  Prawie ażebki gramatyczny i bardzo podobny język językowy...
[32:40.900 --> 32:41.900]  Więc mamy tylko A1 i B2...
[32:41.900 --> 32:42.900]  Tak...
[32:42.900 --> 32:43.900]  Tak...
[32:43.900 --> 32:44.900]  Tak...
[32:44.900 --> 32:45.900]  Tak...
[32:45.900 --> 32:46.900]  Tak...
[32:46.900 --> 32:47.900]  Tak...
[32:47.900 --> 32:49.900]  Nie musimy rozmiarować, bo...
[32:49.900 --> 32:51.900]  Mamy trzy razy trzy słowa, które są w języku polskim.
[32:51.900 --> 32:53.900]  Tak.
[32:53.900 --> 32:57.900]  Więc mamy A1, A2, więc sześć...
[32:57.900 --> 33:06.900]  Czasami słowiańcy, jeśli uczą się polskiego, mogą przejść B1 po 90 godzinach.
[33:06.900 --> 33:11.900]  Ale to tylko dlatego, że ich język jest...
[33:11.900 --> 33:15.900]  Tak, jest bardziej podobny do polskiego niż...
[33:15.900 --> 33:17.900]  To ma sens.
[33:17.900 --> 33:19.900]  Tak.
[33:19.900 --> 33:21.900]  Ok.
[33:21.900 --> 33:23.900]  Ok.
[33:23.900 --> 33:25.900]  Jesteśmy w porządku?
[33:25.900 --> 33:26.900]  Oczywiście.
[33:26.900 --> 33:28.900]  Wszystko w porządku? Ok.
[33:28.900 --> 33:30.900]  No dobrze.
[33:34.900 --> 33:36.900]  Czy mogę się odpocząć?
[33:41.900 --> 33:43.900]  Oczywiście.
[33:43.900 --> 33:45.900]  Jest jeszcze więcej.
[33:45.900 --> 33:48.900]  Jest jeszcze więcej, ale nie wiem czy chcę...
[33:48.900 --> 33:52.900]  Ok, może na razie. Czy macie jakieś pytania?
[33:52.900 --> 34:02.900]  Może jeśli wszyscy macie dostęp do Black Lion, mogę wam podać odpowiednie odpowiedzi?
[34:02.900 --> 34:03.900]  Tak, tak.
[34:03.900 --> 34:06.900]  Albo może macie bardzo ważne pytania o tym.
[34:06.900 --> 34:07.900]  Myślę, że inne są łatwe.
[34:07.900 --> 34:09.900]  Tak, inne są łatwe.
[34:09.900 --> 34:10.900]  Ok.
[34:10.900 --> 34:11.900]  Ok.
[34:11.900 --> 34:12.900]  Tak.
[34:12.900 --> 34:15.900]  Czyli to było 2, 3, 4.
[34:15.900 --> 34:16.900]  Mhm.
[34:16.900 --> 34:17.900]  Ok.
[34:17.900 --> 34:20.900]  Więc może dodać wam...
[34:20.900 --> 34:24.900]  Dodać odpowiednie odpowiedzi.
[34:24.900 --> 34:25.900]  Nie, przepraszam, tylko jedną z tych.
[34:25.900 --> 34:28.900]  Dla ostatniej linii na linii 7.
[34:28.900 --> 34:30.900]  Gojine, to jest brać, to będzie brow?
[34:30.900 --> 34:31.900]  Czekaj, kiedy?
[34:31.900 --> 34:32.900]  Homework nr 3.
[34:32.900 --> 34:33.900]  Potem, pu, gojine.
[34:33.900 --> 34:35.900]  W tym przypadku, następne trzy słowa, co będzie brać?
[34:35.900 --> 34:36.900]  Co?
[34:36.900 --> 34:37.900]  W tym przypadku.
[34:37.900 --> 34:38.900]  To jest brać.
[34:38.900 --> 34:39.900]  To jest brać.
[34:39.900 --> 34:40.900]  To jest brać.
[34:40.900 --> 34:42.900]  W tym przypadku.
[34:42.900 --> 34:46.900]  Brać to taki dziwny, biorze.
[34:46.900 --> 34:48.900]  Ok, ok.
[34:48.900 --> 34:55.900]  Ok, może możemy to zrozumieć jako inne nieograniczone formy, które nie mamy tutaj.
[34:55.900 --> 34:58.900]  Brać.
[34:58.900 --> 35:01.900]  Brać.
[35:01.900 --> 35:02.900]  To rozbiszmy to sobie.
[35:02.900 --> 35:04.900]  To nie jest brał.
[35:04.900 --> 35:07.900]  To jest brał.
[35:07.900 --> 35:10.900]  W jakiejś sytuacji.
[35:10.900 --> 35:15.900]  Dobra.
[35:15.900 --> 35:17.900]  Brać.
[35:17.900 --> 35:20.900]  Najpierw zrobimy rodzaj męski.
[35:20.900 --> 35:23.900]  Najpierw zrobimy rodzaj męski i rodzaj nie.
[35:23.900 --> 35:25.900]  Ok.
[35:25.900 --> 35:27.900]  No to będzie...
[35:27.900 --> 35:29.900]  Najpierw idzie pojedyncze.
[35:29.900 --> 35:32.900]  On co robił?
[35:32.900 --> 35:35.900]  Brała łem.
[35:35.900 --> 35:36.900]  Ok.
[35:36.900 --> 35:37.900]  Ja?
[35:37.900 --> 35:38.900]  Ja brałem.
[35:38.900 --> 35:39.900]  Ty?
[35:39.900 --> 35:40.900]  Brałeś.
[35:40.900 --> 35:41.900]  Brałeś.
[35:41.900 --> 35:46.900]  On brał.
[35:46.900 --> 35:47.900]  Brał.
[35:47.900 --> 35:48.900]  Nie jest zbyt...
[35:48.900 --> 35:49.900]  Rodzaj męski.
[35:49.900 --> 35:50.900]  Brałam.
[35:50.900 --> 35:51.900]  Brałaś.
[35:51.900 --> 35:52.900]  Brałam.
[35:52.900 --> 35:55.900]  Brałam.
[35:55.900 --> 35:58.900]  Brałaś.
[35:58.900 --> 35:59.900]  Brałam.
[35:59.900 --> 36:00.900]  Ok.
[36:00.900 --> 36:01.900]  I rodzaj nijaki.
[36:01.900 --> 36:02.900]  Tu nie mamy.
[36:02.900 --> 36:03.900]  I tylko trzecia osoba.
[36:03.900 --> 36:05.900]  Ono?
[36:05.900 --> 36:06.900]  Brało.
[36:06.900 --> 36:07.900]  Brało.
[36:07.900 --> 36:08.900]  Brało.
[36:08.900 --> 36:09.900]  Brało.
[36:09.900 --> 36:10.900]  Brało.
[36:10.900 --> 36:11.900]  No dobrze.
[36:11.900 --> 36:12.900]  Dobra.
[36:12.900 --> 36:13.900]  Dobra.
[36:13.900 --> 36:14.900]  Jedna pojedyncza.
[36:14.900 --> 36:15.900]  No i liczymy mnoga.
[36:15.900 --> 36:19.900]  I to będzie rodzaj męskoosobowy...
[36:19.900 --> 36:24.900]  ...i rodzaj niemęskoosobowy.
[36:24.900 --> 36:30.900]  My jako mężczyźni musimy...
[36:30.900 --> 36:32.900]  Musimy...
[36:32.900 --> 36:33.900]  Musimy...
[36:33.900 --> 36:34.900]  Musimy...
[36:34.900 --> 36:36.900]  Kto go brać?
[36:36.900 --> 36:38.900]  Brałyśmy.
[36:38.900 --> 36:40.900]  Brałyśmy.
[36:44.900 --> 36:46.900]  Brałyśmy.
[36:52.900 --> 36:54.900]  Wy?
[36:54.900 --> 36:56.900]  Brałyście.
[36:58.900 --> 37:00.900]  Brałyście.
[37:00.900 --> 37:02.900]  I one?
[37:04.900 --> 37:06.900]  Brały.
[37:06.900 --> 37:08.900]  Brały.
[37:08.900 --> 37:10.900]  Czyli mamy tutaj tą końcówkę
[37:10.900 --> 37:12.900]  wy
[37:12.900 --> 37:14.900]  i to jest końcówka
[37:14.900 --> 37:16.900]  rodzaju nie męskoosobowego.
[37:16.900 --> 37:18.900]  A jak byśmy mieli tutaj
[37:18.900 --> 37:20.900]  rodzaj męskoosobowy?
[37:20.900 --> 37:22.900]  Oni.
[37:24.900 --> 37:26.900]  Czyli my jako mężczyźni, co?
[37:26.900 --> 37:28.900]  Braliśmy.
[37:28.900 --> 37:30.900]  Braliśmy.
[37:30.900 --> 37:32.900]  Wy?
[37:32.900 --> 37:34.900]  Braliśmy.
[37:34.900 --> 37:36.900]  Braliśmy.
[37:36.900 --> 37:38.900]  Braliśmy.
[37:38.900 --> 37:40.900]  I oni?
[37:40.900 --> 37:42.900]  Brali.
[37:42.900 --> 37:44.900]  Czyli technicznie ten wers
[37:44.900 --> 37:46.900]  w pierwszej części nie jest
[37:46.900 --> 37:48.900]  nie jest nieregularny, ale
[37:48.900 --> 37:50.900]  mamy
